d141a47ca817d36f480dd5f5d953ca1f	A. W. Ward
530736	808
62a0f1806fac42ea19d83f7a3784cdff	Bodleian Library
192887	Khosrau II
98f182bf113d4c1de6da3d936508a51b	European Cup 1956–57
47570	Mikhail Sergeyevich Gorbachyov
1279607	Thập niên 710
c95680d59245a73bc9844788d2e6fbf1	Giáo hội Công giáo Đông phương
40069	Cao su
31091eda980d9714562b1ffab384a994	Giờ ban ngày phía đông
53650	Thể loại:Sinh thập kỷ 1170
928381cfb7d25fce1d05f6f47119f658	Cao Thắng (phố Hà Đông, Hà Nội)
747e7d7ed7edeb145634b79bb6ef6949	Mongyai (xã)
3670905	Minamoto no Sanetomo
183321	Tỉnh của Pháp
1ec32ac7a88e6b659a0052f5c6ee82e1	Kỹ sư canh nông
3150559	André Breton
1279646	Thập niên 30 TCN
3433864	Tiêu chuẩn
7f6c655bac62cafc624827a6da90dcdf	Cuồng triều
3673000	Khởi nghĩa Lý Bí
100185	Khối lượng mol
20301	27 tháng 5
41710	Hậu Lê
3887648a5443b6ffa589811967cffd9d	Họ Oldenburg
3141058	Chiến tranh Kim-Tống (1217-1223)
93285	Học hàm
a87c503f13c40a263a3cda8f0bfe1548	Alawism
823ec901ea216c93e105fe39e994b878	Hiệp ước ba bên
22ad14136de2e7fb3035fe4146116615	Arroyo del Infierno
d992780f949fad4f27bff055010ba5e4	Andrew của Wyntoun
4e5834ef6e1ddc49aeac563c3e05ef0b	Bern-Mittelland (administrative district)
42520	Ma túy
573ce5ff7e6b025c9464b7455eafb1bd	Beatrice của Anh
31259	Agatha Christie
17527971abd31eca60d9163fc720c3db	Thể loại:Phá hủy thập kỷ 1020
14016	Tiệp Khắc
529978	1310
c6483f844c95573ef6b816a7974f4f27	Christina Stead
ef524d42c5f0497532feb65248d96702	Kyōroku
541370	35 TCN
20481	26 tháng 8
bead943a3a736747352e9a0851db740f	Bernhard Rust
1b606ace77604ffc4847a40c4ace4ccf	Abū Rayhān al-Bīrūnī
529239	1627
24500	Cẩm Giàng
d0eed80677327f86405821e0f55eebad	Trận Molodi
0a45c368c2854c0c57dcafd2166c682f	20 tháng tư
253184	Kinh độ
8fb729b3e12770a5de0360280a510778	John VII Palaiologos
ee073b98bbee0f2645af6bdbab1278ea	Alo (Wallis và Futuna)
2273284	Soompi
204757	Sông Lục Nam
1ff7d441c38e1d159d5fce8827e04f93	Leo Strauss
2e4b2c4ba0d4bfa06a71fdcfea41222e	Bông thuốc súng
3349638	2195
68cedce65b759a17a945d28775714bd5	Rachele Mussolini
058b5842e501b6387eb0d95f94e9e7ca	Carl Röchling
126000	Huyện Hoa Lư
4aed215254bee5f75d7c10703cab2333	Chōryaku
8309	Trung tướng
d50dbc70f0365f95f234da804b168528	Cuộc bao vây Thành Quy Nhơn
3243030	Quảng Châu
107933	1949
290040ab851765899c591af51f5af7e3	Bess Truman
1445777	Thể loại:Sinh thập kỷ 740
570b0284e6939ff3b9b81ff2ec073b44	Callum Hudson-Odoi
b97b01ad1a9155618ffb7cc15c2b36c0	Bonar Law
1748439	Hậu Lương (Nam triều)
61b9ea7431a070e138a17cdbf52cf2ee	Brookings Institution
70237	Aachen
258487	Bắc Ngụy
387135	Antiochos IV Epiphanes
53781	Thể loại:Mất thập kỷ 1800
448539	Bozel
3684789	Ba Thục
9e0275423cc525a0aba105a7ce3f6af2	Chiến dịch Barrel Roll
3363484	Nhân Hiếu Văn hoàng hậu
53652	Thể loại:Sinh thập kỷ 1180
110161	Nguyễn Thị Doan
778be90821a7c637b7e96520c71effda	Chihuahua Fox
9cdcdf5f636ff3965c2510fa796dfc15	Tam Đăng
529601	1566
44400	Sanskrit
3338369	Al-Sham
457c5e071b341f2a75b854fa831c5b71	The Quick and Easy Way to Effective Speaking
41145d1c2c6ef1d95082dd7075c4bd1f	Chiến dịch nước Đức (Chiến tranh Napoléon)
7dc1c7653ac42a05642a667959c12239	2144
3b5a5fd81caa0e6bb29ee3fa57c35716	Thủ tướng Vương quốc Anh
027ecec278615247211a1086ebbd5257	Piruz Khosrow
6602942fcea34f14fc399217251fab90	Danh sách opera của Gioachino Rossini
247765	Luiz Felipe Scolari
1e8cad66975d3cde321274c45eebf1c3	Ðại hội Ðảng Cộng sản Việt Nam IV
064d6e8ad88bfdd9b38abd94b9c7b639	Chương trình Hilbert
7628	Châu Nam Cực
95bcf8576c0073c3c98668760071292d	Auguste Laurent
d7a2ca50d32778fa5de7e1c21b517795	Bò cạp trong biểu tượng văn hóa
b180257131e119f3dcb60bd6d820bd8e	Muttenz
249680	Louis V của Pháp
102820	Copenhagen
53728	Thể loại:Mất thập kỷ 1550
6b342323a70ca0dbf9ce1a374694f920	Cộng hòa Nhân dân Angola
504190	Bochum
e821999e33f440cadebda75fef504c97	Chiến tranh Nga-Thổ Nhĩ Kỳ (1686–1700)
530297	1013
2462916	Chiến dịch Tiền Sơn
2169568	Tên gọi của Hà Nội qua các thời kỳ lịch sử
107945	1961
523785	1799
9a81005c477309191c962d7a2395f47b	Antoniades
125668	Hội thề Lũng Nhai
14007	1945
9d1507d54d5fd840238f2782f36d7619	Thể loại:Thành lập thập kỷ 1680
374794	Arlon
3663	Trung Hoa
6dc9b1ae571de486474baa90c72a00bc	Francesco Hayez
6ca91c111ced80e4123e5255f8fa8f05	Châteauguay
33140592a6de9418d8b1824ce75d2e7b	Konrad von Jungingen
457948	Thế kỷ 1 TCN
5c9c7f7235b311e190d258eaad48052b	Infanta Maria Josefa của Tây Ban Nha
20552	30 tháng 9
532613	G Force
1751216	JPL
1273726	Bệnh lý học
5bc50c6b2b33697755fdee76299a569f	Victor Villiger
83a2db7c23a0e8b91ad659c1048e16ef	Belgrade Arena
2440073	Acapulco
1463032	Hữu Thỉnh
1425343	B-25 Mitchell
90216	Chùa Bà Đanh
806340a05a033ee8aac4c2cd96bc0a8a	ACM Air Charter
e9011539c18b641b8a07fba3cebf6b43	Dương Quang Hướng
bcec480beea989f8711800932595732c	Benjamin Lundy
a553efcf0b15bf76ce10ce24e0a4d282	Auguste Louis Charles La Garde-Chambonas
56df2dca479d6af5f5bf2da8ef55c44d	Chiến dịch Gladio
74580	Cluny
530121	1122
e9bafab143383ba6d5fc4d2b49948e88	Chiềng
040b702fdc297014963d472fe8c6d6b5	Church–Turing thesis
09d5c4639ead9f9a37f0e6d6472b943b	CSL Behring
530127	1127
3363564	Nùng Tông Đản
1241940	Mốc
3197606	Bình thoại tự
d57be0290be8a9ab4656b081340086ce	Đại học Kiel
57478	Sách Sáng Thế
71c2b2376930dbef422fb656625c7a3b	Chương trình chung của Liên Hiệp Quốc về HIV/AIDS
09e71c196d25448bf864292204a7a52e	The Gambler
3147169	Ban Cơ yếu Chính phủ Việt Nam
cae75e7cdb9724966c07d2ab97fce453	Bộ Tổng tham mưu Đức
948dfd68c3abc1038c942b4467a98f32	Mor lam
83bef2f659621d3f8f8b101cd5f21b72	Hội chợ Thế giới 1900
120292	Paul Johann Ludwig von Heyse
470974	Alan J. Heeger
a1b1478264f3f30171684fb78910cf43	Chủ nghĩa xã hội tại Ấn Độ
20193	4 tháng 3
1251952	Quang Lịch
28847	Cục Điều tra Liên bang
2360257	259 TCN
81435	Vịnh Xuân quyền
327681	Tỉnh (Pháp)
314094	Khẩu hiệu quảng cáo
93733536d85dd5ab29bc703e19062451	Thể loại:Kiến trúc thập kỷ 1110
530508	1498
8d43a24c7ca05879d9d15cf3d719bd26	Leonard Woolf
3281807	Baek Hyun
98598cae5faba9fa895ec9f021c095fa	Royal Swedish Academy of Engineering Sciences
25826	La Mã
236126	Các di tích ngoài Kinh thành Huế
1445741	Thể loại:Mất thập kỷ 110
0945ce351721b32505dee7308745ea2a	Bộ Vận tải Hoa Kỳ
d03b7d080d7a1b9a4c92bc5d4035dbb4	Composition algebra
3ca4ca6c12a514917020e3fda5810887	Alexander Korsakov
f91d6ad4aeaab7293615841c1e2ccd36	Người Canada gốc Ý
143382	Cách mạng khoa học
530984	1384
187205	Huỳnh Mẫn Đạt
3637723	An Hải
15144	Châu Phi
9430	Hoàng thái tử
48202a78f2de54b1df79252b8ee8a0ff	Assassin’s Creed
970dc0305eb55bf57cdcf667859bbc55	Chiến dịch Apache Snow
92713	Lực lượng Quốc phòng Úc
2358900	Joseph Smith
132097	El Al
76943	Chiến tranh
05476181429d89a32843c02ad7b8a7ea	Chữ Pahlavi
50001	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá III
f3990b646625c927dad933da05eff0e4	Ryan Fraser
8d906d2160193c0e5f00ed945667a2ff	Kilômet vuông
c1d769c98901dc20643bf42c52a4c5f6	Sanhedrin
2656	Gam
20335	14 tháng 6
2443621	Bào tử
664a8c4b19df9f2b86e0b180922bfd82	Bảo tàng công nghệ
38560	La Văn Cầu
ce64d8d63cdac081e40b5079b4a30939	Amherstburg, Ontario
92052	Cải bắp
4f62f15ef92f981968ce6d618f66b059	Armoured warfare
240575	Louis XIII của Pháp
034bc78ad100dc29bf04856651d8f584	Hoàng gia Bhutan
1289973	Chu Hữu Khuê
64368a4178226a729562222a011ca00b	Chủ nghĩa hiện thực Plato
541614	173 TCN
107530	André Masséna
96842	Mãn Châu
36609	Chi Cam chanh
31509	.by
a07abcab979cea444014c828365a2611	1848 Democratic National Convention
3501208	Khoa tim mạch
4c58af314632f8dd408e4244116f3b88	Đảng Cách mạng
6132acc8dd6043198f2398c32fba75b5	B. F. Skinner
b5c165fa1e8f95fe0ea5521314e4aa20	Gustave Nadaud
d429dbbee676b90ea7f30310f7e3a8a1	Claire Keegan
123047	Nghĩa Hòa Đoàn
3683316	Hình tượng Cá sấu trong văn hóa
778109	Albens
a434a289b5bcb5731cc8649ec3394fbe	Audi Q7
0ba54843f66fc0c4ecafc612086209d8	Công nghị Jassy
3e0292fbe5cd3995d89902dd7ff855cf	Boshin War
1411	Ngô Quyền
05d4f4a48a3b45721168ae7d89793235	Mike van der Hoorn
9d856c88eab263dccd4e71aff42d45f8	Alexander Hood, 1 Viscount Bridport
3231829	Trịnh Khải
e1a04818f81fcb7a1574b843254488e3	François Tristan l'Hermite
5d5a3d61b2a2678376c12d9384cfd96a	Thể loại:Phá hủy thập kỷ 180 TCN
13	Tiếng Việt
328001	Nữ hoàng Victoria
fd4105906d9d7a7398872484cfa15822	Basotho
2a53b9189bbad229074dad3d706b0ec8	Hạm đội Nam dương
b62e416728c901140acfff1f3cd72f99	Chống lại sự bá quyền toàn cầu hóa
530667	923
3243334	Bộ Giao Chỉ
565526	Nguyên thủ Việt Nam Cộng hòa
60840	Sở hữu
2439464	Thiên Kinh
532173	435
89418	Marx
7ecf510fc570642904529abc4b1647bf	Mahipativarman
20400	15 tháng 7
a1a06af6acfefae4c26309020b45e609	D. R. Bendre
793654	Đại phong cầm
32564	Gạo
55115	Cương mục
530091	1135
76912	Saint-Louis, Haut-Rhin
de16d2db4c3a809e2c8a1a703dfcc80d	Dissolution of the Ottoman Empire
451982	Giáo hoàng Romanus
528880	1726
343941	Bá hộ Xường
5f857b6cdebb4defbcbb5c55f5ced601	Thời kỳ Văn Trị (Nhật Bản)
491340	Siêu đô thị
529892	1230
86038	Kilômét vuông
1239142	World Bank Group
6b47cddb7246a289a780573dd62b04f8	(Cáceres)
392202	1851
574575	Chiến tranh Tống-Việt, 981
bce7638c4ae0feefbcdc872603696843	Hàn Kỳ
a3cfabda52d3beab7ae73614c2c31f0d	Barito
a4f65549f95aae69bb97dc16a8db0a75	Portrait of Adele Bloch-Bauer I
49440	33 (số)
3162926	Azarmidokht
54784	Sô cô la
803360	Danh sách giải thưởng và đề cử của Girls' Generation
198151	Đường Chiêu Tông
814175	Bình duyệt
14dc11af1435ac4e8c3839845cbb413d	Lancaster County, Pennsylvania
76c5204fcbbc1c1efca5a036c9c76426	Cuộc vây hãm Kolberg (1807)
540946	22
107006	Maghreb
ccd8ca59f63191c849701d5919d4e2d1	Anthony Tuck
d4718cb47caa2206d58539d6e8a0ed90	Jake Reeves
8f8be54e285146fabb987d24d8da63c3	Chiếc Cân Nhỏ
3565613	Thiên hoàng Go-Mizunoo
a4bbc8d123481edec99a8cb92cd3aa01	Danh sách sân bay theo mã IATA: F
83360231e9ad456d3246db385dc39067	Lã Bất Thánh
18450de39aceed82b26abe218d377740	Government
539fbff37e7fd19bcae1393f54cd2b16	An Enemy of the People
1468632	Alfred Adler
27359	Canh Thân
41dd44c84c7b962301eacfe0684b109c	Sigismondo Pandolfo Malatesta
783623	Guanajuato
368331	Göteborg
1279722	Thập niên 760 TCN
279960	Quốc sử quán (triều Nguyễn)
41279	Tự Đức
578332	Thập niên 1520
320611	Johann Bernoulli
2353540	Mông
337516887bcaceeb03b22e3bbaa629e0	Lý Thục (chính quyền)
d0c67710fa22f0759a2eaa8b6169dce3	Bảng chữ cái La tinh
a08912553c2218537624c9e69426c40d	Evening Standard
d628d9816e4b2d9cc5e9198212326caf	Thể loại:Phá hủy thập kỷ 1230
fe1d0c01f1fbb4fb3a84104d29b3285f	"one gene, one enzyme" hypothesis
ecce4b6204cd463bf4b73834603891a4	Tenpyō-shōhō
530016	1187
11121296	Al-Hasa
541126	27 TCN
341659	Abdullah bin Ahmad Badawi
83f114c55d56fa46376fc0cca316c52a	Compass Cope
23296	Bảo quốc Huân chương
392171	1835
297875	Alexa Internet
016c21be11530e0213276b76595ea307	BMW Mở rộng
3227092	Nguyễn Phúc Miên Triện
4fb174b9bf8f956e0c1efc8473169c24	Critical Thinking
bb6e02241548b8923022996e43d80f4e	Only the Lonely (phim)
9130b37b7538b4eecf91e88487f648db	Moses de Leon
69055a306523a9f62c89d92342af7c2f	Nghị viện Hà Lan
3ee92b7bf8924745eae24f092bb08eea	Ciro Alegría
3394824	Friedrich Schelling
541541	125 TCN
785705	Flavius Aetius
1313909	Bi đá trên băng
396426	Kinh Bắc
6224957c4394043fda226133d4264f2e	Charles Brackett
18baf522c5c69a036ce623e856407a46	Danh sách các trường đại học và cao đẳng ở Ohio
7c344e154365df60e3bf381a68e3aded	Luật Trà
1279625	Thập niên 890
2c2c352698dbdc62cc3cc9b014b8b667	1 (album của Fischerspooner)
95889	Biển Nam Trung Hoa
25cf26c277e70e10d20a97476ac7ab39	Messe solennelle
1122117	EXO (nhóm nhạc)
29935	Biển Baltic
69985	Nguyễn Phúc Cảnh
117918	Long Biên (huyện)
79009	Chứng khoán
417033	Amur (tỉnh)
b1ee31ed2c87d4957b0c3ee2412be6fc	Lê Khâm
3278020	Giải vô địch bóng đá thế giới 1930
530697	948
74473	Autun
6900b12ec9d47f240bf0ad62e0877b09	Allan McLeod Cormack
07e8230dc66ea6693dcb3d1eaaf5b9c7	Baltic Klint
63698	Samurai
cdc1471c430dd6e79ca7e882299f9fe2	Bệnh viện Miễn phí Hoàng gia
d0fc677be79281aaf1dcb051f5842988	Perturbation (thiên văn học)
5619913fca699469920fb4916432ead9	Nguyễn Thị Ngọc Cầu
368610	Date Masamune
20351	21 tháng 6
b3ae3cec20a234c833b1444da6eddb43	Cảnh quan văn hóa trồng nho của vùng Piemonte: Langhe-Roero và Monferrato
3244221	Nguyễn Hữu Tiến
1cd7db07edf6d3b6f59b29c6144ed041	Chính sách về môi trường
3671173	Thân vương Munetaka
531774	2016
1742712	Mardi Gras
2059	Ancol
400509	Tarn
d12bea5f46690fe10d6eefa81611a783	Đại học Ghent
65ceac4b77544d2ca869f52bfb125586	Arslan của Ghazni
1406dad51b322f589da21c9cdd536936	Balenciaga
2429955	Hóa chất
e4751e2044cd12a03a0d0716fd3cff13	Annamarie Doherr
7ff95fdedff11d9dfbc5ca7fc5f7b8ee	Donald II của Scotland
77505	Lộc Đỉnh ký
1377901	Thượng Đô
3300800	Bí thư Tỉnh ủy Vĩnh Phúc
541013	364
391975	1810
53820	Franz Liszt
423150	Augerolles
93bd84c80731e9d98c7b05e49550a483	William Pitt
e43423d974f73ccd40b20a48b4d022d7	Axiom of countable choice
7febf1e24679a35dff0b0d17ffb876da	General Falkenhayn
025ea5e9fc9895b88404be56519de7d9	Ama Pui
010703d87398fd64e6de7bb5a5edb910	Máy định vị thủy âm
186242	Linh Từ quốc mẫu
9094235	Baudouin I của Bỉ
38206	Namibia
3428362	Eo biển Shimonoseki
107943	1959
3428c7bbfd230b105cbef3041f6233e7	Chu Chi Chỉ
2358554	Biến đổi bức xạ mặt trời
4fb173560b114c3dfde4e68551a35b21	ISO/IEC 10116
540797	159
10099	Violin
140651	Lê Trang Tông
889	19 tháng 3
1445688	Thể loại:Mất thập kỷ 680
1222100	Sông Paraná
67044bc540a630272ee0be3dac84b555	Alexis Piron
55936	Charles Baudelaire
4154	Séc
1279615	Thập niên 790
48d546e05d7a16248077f5988c703050	Chủ nghĩa Tân Hegel
13605	Hy Lạp
107981	.pf
6cb7cf315c439193ab2ab34da471ff45	Kỳ thị loài
792528	Emile Berliner
00e3c5ead7daf21821cb2d85f3fc698d	Apache Wave
fca53ee4e7c3ce4ecaaa37daca324827	Hạ Đức
205968	Bái
228112	Cảng Khẩu
19988	24 tháng 11
eeb91be261319613a89b23ae641c97de	Chủ nghĩa tự do mới
1445788	Thể loại:Sinh thập kỷ 630
acaa85fd9b886f3566ad7eafce1d7a76	APEC Hoa Kỳ 1993
44b3b1aad0c693078399fbc6f413e2a6	Anapji
1613535	Bas-Congo
d4495fe3a53c5c9d05c961a7fb79e7b2	Thần thoại Sumer
e5456bda298be3f1d7234cf74184f34b	Kennedy Center Honors
531090	763
c31840e7c3733e71197d37bbd20ad9be	Giovanni Sartori
245779	Lý Hóa Long (nhà Thanh)
3158460	Coventry City F.C.
119322	Nội dung tự do
1200948	Chlorophyta
a12ad32897c0961dee5c5d10c33bbbfa	Trận Plassey
54695	Andre Agassi
31335e91d74eb1a44b98c3e614347d5d	Dương Định (Âm Bình)
106126	Antigua và Barbuda
0cca18ed17bbe973f834f31146779936	Andy Serkis
81e58d50f3a3c083d9d5d90001ee9d05	Chu kỳ Mêtôn
3125106	Hermès
374e80f5aade3be86c19c2c651e9b73a	Thể loại:Kiến trúc thập kỷ 960
9a629ef5bc1172775bed5d606886c11c	Federal Reserve Board of Governors
39873	Dãy Trường Sơn
1737d210e8d60367a46d3fc06c9a5312	Hành động
817023	Pietrasanta
2128bdb12fe4b6afe6069742aa3cd63c	Flag of Connecticut
dbe353bdb1d1c8e6f9538a224a24da0e	Huân chương Đại bàng Đỏ
49658	3 (số)
541099	2 TCN
b3ae13539154eef86dd89b2ba7de1d7f	Düsseldorf-Angermund
3351439	2089
2563	Thời gian
5331	Chữ Hán
781641	Hy Lạp thời kỳ Hy Lạp hóa
103483	Cải cách ruộng đất
327881	Hua Hin
578389	Thập niên 1130
e7100c3c0516a7017bfdbdff57292279	Bắt giữ HMS Penguin
286482	Thánh Vịnh
7ccc9b30a4d768635d19903d9291c61a	Chiếu chỉ Thessalonica
2348cd57d56836326139d487991ba5bb	Sweyn I của Đan Mạch
277353	Danh sách nhân vật trong Thám tử lừng danh Conan
45842	Chiang Mai (thành phố)
e18518eb23b5d57d35e8e073ccae0cce	Nghĩa trang Princeton
9c5b2f9fd706b324cf5c31b19e062387	Biochemist
127487eb40a6cd31fd6809a0715967d3	Chính trị Bắc Mỹ
f36b776c8a5cefbe90d796ec6d729e05	Zakāt
116725	Khủng hoảng con tin Hàn Quốc năm 2007 ở Afghanistan
1777204	Amber Liu (ca sĩ)
da5e9538e01add8ab449179f02564953	A New Day...
384b208a97502d3199d0400d6eb9569c	Múi giờ miền Đông
27641	Hội địa lý Quốc gia Hoa Kỳ
198226	Averroes
3bbe5c0278bb3a5f0c7fe1e3505995f7	José Ruiz y Blasco
e0f387545c3726f4a8d7b36a86f2fe21	Trân Santa Cruz de Tenerife (1797)
1221029	Đại Chưởng ấn
fcbcc5a716b404c9d5ceb46b772c3c7b	Akatsuki (tàu không gian)
244891	Jean II của Pháp
34da9b15d1160af687a47c3a628fe328	Gene Kranz
e1d5e73b548eebd750198518bea87896	Essayist
f21dfacff9e9c0fba1ca11f28946f3ff	Frank and Fearless
20125	2 tháng 2
93e69719dddc78c22e051fe8945b9478	Bát hổ
9e030003e83845588de807dad5981467	Daiei (era)
528917	1751
1445760	Thể loại:Sinh thập kỷ 910
342502352e1490bd60a55cd5a2bb868e	Allison T40
59d4c7bbd7ab078262e1db04ca321627	Charles Blagden
60bc77ea3c18c8927e7695ecfd555b08	Ando Naotsugu
ebe544fa5e369f9476d5748b972447b4	Epiphanius các Wise
98444	Phi công
39605	Fiji
a7759aa872b739d4d0d68ea256f18631	A Duet
8a7d1239f7bcbd655c067c80109f541b	Demon of the Sea
5395450db7d2fcc86e5c0ac16946fa96	Bright Lights (phim)
d542478d6a29fcfa98366843b3bda249	Carl Theodore Liebermann
1189657ec0c217712024e5c622d70e90	Con hổ vùng Powalgarh
d393f68e09e903aef6cb3fdd80884da8	Jews
747267	Antique (tỉnh)
803911	Emilio G. Segrè
530012	1191
6d0e937c2d33a2fb570b343c416669c2	Thể loại:Phá hủy thập kỷ 140 TCN
392226	1863
3524	Tháng 10
7473b077f4187b2262bbaffbf9741b60	Capgemini
39ccce2ced3fecd1362814690c874e17	Mangistau
1615330	Thiên Ninh công chúa
1f4c7e15bba56a5da5206158e36bd866	Bill Tilman
41c05fb2d691c514b67a55817b4dbe93	Chính trị Châu Mỹ
540859	103
502949	Erlangen
456854	Chiến dịch Budapest
250072	1801
20149	12 tháng 2
140500	Sở (Thập quốc)
798603	Tiếng Romansh
3554066	Thiên hoàng Go-Kashiwabara
33583	Không quân
579163	Ban Tổ chức Trung ương Đảng Cộng sản Việt Nam
529739	1318
c6d153fbfffcfc04a3e06be30b1e11a6	Thể loại:Kiến trúc thập kỷ 940
3c00f80fff1e1072629779894f24b539	Bayraktar Mini UAV
20711	28 tháng 12
1085953	Lưu Văn Huy
1296637	Chính quyền Uông Tinh Vệ
3689226	Hans-Georg Gadamer
1180171	Phép trừ
540745	199
297832	Palestine (định hướng)
49976	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá IX
1b27e3759081135e7ad35c8a5e2136b0	Bà chúa Tuyết (phim 2005)
4d47f30e51bacb86e0b2285783398145	Dương Bá Cung
820496	Ann Arbor, Michigan
234074	Mạc phủ Ashikaga
a407a617bb0661efef1595fbfafd45f4	Alf Landon
51d0e64e458860ecb026a8b062726c75	Bertold von Regensburg
46965	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá VI
21b524a1633eba516c6df9a75fd203eb	Atomic Energy Commission
2413602	Các chiến dịch bắc phạt thời Đông Tấn
118949	Thuận Hóa
9b45e106c09381c19df3c72f63604b4e	Chùa Bửu Quang
20210	12 tháng 3
511740d22f428f2ac5d3e63705757cba	.kr.한국
399f7f74e5927d0a2a373fb5b74dc2cf	Dấu Jacobi
6d334e8a24c4220f8a48104b1cfc55b3	Tu chính án XXIII Hiến pháp Hoa Kỳ
530107	1112
e1a198209393f9d2cdcdb357f45df92c	Mosses from an Old Manse
530429	1455
af1d32756d9e6363d57814e69aa77295	Chiến tranh nha phiến lần hai
78871	Air France
198345	An Hương
e923903700ed57591fd4cf3413caf460	Thể loại:Thành lập thập kỷ 1030
3869	Kanji
b35a2e5e464dcbbc3298ae0823746fe0	Marcel Delcourt
1414604	Olivier Giroud
2a8bd8af8ebd4a0779f2e056976342e4	Lãnh sự Hoa Kỳ
aad332e4bc49ce0f1f64a78df8c3e670	Akatsuki (spacecraft)
08401f91ba49a95e09a3c174cff83980	Chỉ số (cơ sở dữ liệu)
7cbd1ad1f165ca13641d1927bd987bf8	Chiến tranh Độc lập Ireland
cb7b93063f3de02aadfed2644bdded07	Düsseldorf-Golzheim
0bdb64122a39765265eba3324600c08c	Thể loại:Kiến trúc thập kỷ 790
72543	Bogotá
3b10dda71b8042964489744ab7cf9a17	Lịch Thụy Điển
250805	Biển Celebes
27686d10ad2cb3701e50d975602ff14c	Haakon VI của Na Uy
826891	Acre, Israel
96b5ba063984c08a4bd2a1f884c3086d	Anton Wilhelm von L'Estocq
075203b77f0220f40f800521c804d802	Football League 1975–76
c9ec2e1ebe679d99a818cc23004a4d77	Biến đổi dần dần
c5788742779f7080daff0ac629e979a5	Chiến tranh Berber thứ nhất
853	Anh
298138	Kumai Yurina
278897	Nguyễn Văn Trương
263665	1893
98764	CA
3647831	Lịch Hijri
3729	Mặt Trời
6322	Hồ Quý Ly
3227198	Danh sách các sao nóng nhất
87789	Sông Mississippi
1204202741c0acb7050cc96ec6ab223d	Thời kỳ Nguyên Trị
923231	Dương Nguyên Khánh
53764	Thể loại:Sinh thập kỷ 1730
384379	Ngày
2418537	Đế chế Inca
12467	Đại Tây Dương
31f9d94cf28586c718bcb493541e131f	Đại học Tây Washington
d6af94790f92ce56790d29fe78046f6c	Arnaldo Ochoa
532854	347
540969	255
5942fe6313baec7f7ec3ce66453cf459	Dương Đằng
531205	735
9660b5d73b0bb048dd37e31f46a91099	Alexander McCall Smith
53679	Thể loại:Sinh thập kỷ 1310
3216378	Bộ Quốc phòng (Việt Nam)
ab4fc906f78acf9b4748931613b23efe	Lê Sứ Khải
573584	Athens, Georgia
531280	684
25c1b74468e0d0659157d4b46b6406da	Bàn cãi về sự khám phá các phương trình trường
4663410d2206b3b73026a67513d7f98e	Ngày Thương binh Liệt sĩ Việt Nam
20171	22 tháng 2
16432	Quốc hội Việt Nam
dc251be77bbd7ac5d5188267ce410d9d	C. Auguste Dupin
7010	Nam tiến
530612	921
c898048ac427a9804950d3870684773d	ISO 3166-2:DE
6d25bccdc0165b47150f08adcfe9f3ad	Thể loại:Thể loại Wikipedia cần dọn dẹp từ March 2011
53687	Thể loại:Sinh thập kỷ 1350
2b99770fc65a72c54bbeb52deb1b19ed	Danh sách các tổ chức chiêm tinh học
41808	Sông Danube
530733	805
006a0df0d50988f598647837f2ea28df	Chùa Thiên Trù
406704	Girls' Generation
531773	515
530557	976
4d22947ed136474b1f598f560f36c955	Anvari
d76c3297ad3ed2dbd17d856cca33dd5c	Autosan
156902	Danh sách di sản thế giới bị đe dọa
407511	Kịch
2442638	Hiệp ước Xô-Nhật
257119	Avalonia
42635	Cocain
2cd4ae01762935b397c7ec389badabca	CNNMoney
922ae35c209b722eee2fc8a61875c8e9	Cá nhân giá trị ròng cao
529383	1669
188071	Nhà Tiền Lý
1297463	Bè
aea05f0950db628a25924d4d49ac9667	Bug (các con Sông)
38171	Eritrea
646179	Bodensee
45274	Kaiserslautern
18898	17 tháng 11
375359	Alfonso García Robles
200764	Billy the Kid
cf320544e3416eca19bc9bdd15535893	Khổng Hữu Đức
780979	Tiếng Pashtun
529194	1554
25828	Ariel Sharon
3210814	Ferdinando Paer
466874	Mạc Chính Trung
2417915	Andronikos II Palaiologos
20303	28 tháng 5
55e75b7115e804432d8e708417821a65	Thể loại:Mất năm 1936
264473	Gia Định tam hùng
2440797	Cánh tả
daedb76a52b786a0ae4a40a584ae279c	Barstow, California
530741	813
83268	Chris Evans (diễn viên)
3350570	Harold Macmillan
22176	Cấp sao biểu kiến
db5079ce4d18c361ae4300173f50698c	Otto Hesse
825310	Nhật ký người vợ
96607	Lê Phụng Hiểu
70c41972a28ff31dc27898cf2bf3dd20	Mohendravarman
172c925225d55fc5d1d735885e139a6f	Chống Duhring
8295e78eb692d0051b15357f65b1dbcd	QTV
778149	Bellentre
a55a7139bee76653c350e8d59788dedd	Hàng hải
08e26daa8dd8516131b788830c2ffe3b	Big Sur, California
529335	1674
03afb7c4d315b0157724265f54f77976	Armand de Gontaut, nam tước de Biron
541677	Bệnh tim
a41eed72ec2569b058a7125045fc4c88	Friars Minors
892536b4e0cd4837ba4bf156400a5c7b	Dương Quảng Hương
27348	Kỷ Dậu
3fda22cc83be26afd0aa43560dc7862e	Hoàng đế Claudius
51341	Cơ quan An ninh Quốc gia
