109567	Gothic
1439689	Bắc Ngụy Hiếu Minh Đế
32fdf61d55e1bf2420c0231964766721	Danh sách sân bay theo mã IATA: S
41583	Chiến dịch Biên giới
1345	Wikipedia
55242	Nguyễn Nhạc
7463923	Cố Luân Hoà Hiếu công chúa
138208457492bda306f27ef5e46b13cf	Beethoven Frieze
b043df73d83f339c7fe24dd8faa2ec8d	Arnolt Schlick
3905696bf5a491b3d6f657e19814c231	Hockessin, Delaware
3173623	Apollo 12
378563	Basel
529994	1212
ef21226dd99696f67a8650536c121a7e	Gia-Vê
612e3fc995573ab68d6df7b801bc4536	Thể loại:Thành lập thập kỷ 1060
bd1619f766ea73cb17d3c3086f763ed5	Hiệp ước liên minh
819499	Hoàng đế La Mã
1613751	Dharma
492256	DFB-Pokal
20604	26 tháng 10
107814	1906
4ee14a1065fd346a544f8ce11bb4147b	Đền Đa Hòa
fb25482d031e8c1cccdbad371261ac07	Giải thưởng Nobel Sinh lý học hoặc Y học
274470	Marc Jacobs
ce64653217203c537b4c76a2740b866d	Phản biện ngang hàng
530391	1425
a7cb80c2a1b9a46210e1ff4f6bfc3054	Archives of the University of Glasgow
0fd7dd86de242d7d12575f7cb870d846	ISO/IEC 15693
531274	690
d10617884c52deaf4ffdc15c8ac80e1a	Poppaea Sabina
140151	Âu Dương Tu
2380222	Apink
511403	Vương quốc Napoli
315572	Lư Quán
3263369	Chủ nghĩa Lenin
1937855	Công đồng Lyon I
107094	1942
9fb69021b84c7e7ff04f3a262e179687	Thời kỳ Văn Minh
94314	Cardiff
3a97ec341a8bca78da93c7dba0fb8add	Ivan II của Moskva
3211157	Sulla
49909	158 (số)
120294	Gerhart Hauptmann
107894	1923
21a52fcb35ae62049ab54880411ddcc2	Bolesław Bierut
2160	30 tháng 4
57686	Thiên niên kỷ 3
9f4958086fb83ef24dfc1946a25c5e57	Walter de Burgh, bá tước thứ nhất Ulster
41164	Bazooka
2967	Vi khuẩn
103933	Hiệp ước ABM
aff8b678e89eb0caa2c2ffdbbc521771	Cuộc hành quân Moutte
3177924	Bí thư Tỉnh ủy (Việt Nam)
291875	Abu Bakr
530678	931
cf98f6713aea242302c6013f247a512b	Connecticut thuộc địa
3aa6635d9db38cca0c465db9230f4dca	Heinrich VI (đế quốc La Mã Thần thánh)
97772	.cn
831200	8½
4fdfbf96f162da12ed15e8dd6e8b3ad4	G. H. Hardy
2110c59b4a687dda042ab8cfe184ad22	2012 Australian Open – Women's Singles
529582	1575
139407	Cung Hoàng Đạo
e0a9a5c919ebb8812d6232e1083f0679	Hiệu ứng Wallace
76e6134fd7845bb59d622fdaf3356c4a	Parliamentarians for Global Action
531163	702
2416661	Bão Lekima (2013)
528955	1793
91361	Năm (định hướng)
48387	Eisenhower
3e2d63b0bedb9e930bb44b76ede89a25	Bo'ness
134201	Trung úy
77833	Bolshevik
11e1aa6abdb03e317ba89eb790cf8315	Bang Illinois
867588	Cash (phim 2010)
3266114	Andrei Kobyakov
d8053d9f480637e9f0b57469e92f5c9d	Đảng Liên bang
d817a2b583d4ed62f754d85329d5b040	(101956) 1999 RS36
f047ac08a4d564b2b57efafff2eebcb6	Niên hiệu Anh
ce890bd65a10982f7f3a4f8c4e761531	Pangbourne
8db9ad76ead14f45cc57843bafe1e43a	Bernard Arnault
2295	Berlin
6e768e13718fda961491b727ef21c6c1	Chạy đua hạt nhân
406729	Lịch triều hiến chương loại chí
18599	Mùa xuân
530550	982
cea91e381cef2e482ea09c82b14bb129	Chính trị New Jersey
1279599	Thập niên 620
5978a99f040addb3e1bb85899daf22b2	Dương Thái Xích
6140	Khổng Tử
91877	Nguyễn Phúc Thái
529378	1696
42481	Ngô Xương Xí
97796	Anh Sơn
47528	Thế kỷ 11
1378146	CSI: Crime Scene Investigation
362598	Hạ chí
20282	17 tháng 5
8bfc647cbd20175dde1344ee33b2b327	August Bebel
530367	1407
529337	1676
120296	Anatole France
2200123	Siméon-Denis Poisson
c4a33a79edfcb2981ff8c5bf62f31613	Collège Stanislas
128805	Al Gore
65647	Cellulose
6022eeab163d31c2386d6c853b69f9f9	Barry Bridges
f0aef5c43de24df68daedfc192dde4e3	Abel Aubert Dupetit Thouars
20139	9 tháng 2
39cb6c22e32fb3194f7a5b8e798b0c68	Ethan Allen
b372668bea68281f6b330330310193b7	"Winston Churchill the American"
151082	ISO 3166-2:AT
529261	1644
722fc23353ecfa5c513f5427938e6ec9	2007–08 Copa del Rey
3709206	Abdu’l-Bahá
1279629	Thập niên 930
116821	Richard Arkwright
2a2a16f9495cfdf66ffbb2fdab498c37	Ivan II của Nga
107919	1933
528919	1753
11555adcdf0693d69a03b20570d20c0e	Thể loại:Kiến trúc thập kỷ 110 TCN
1613793	Wikivoyage
575517	Quận Atlantic, New Jersey
120969	.pm
337a307d76e688ffa90fa16164af4ffe	Bernard Ramm
16acb4458b05b4f7f258794fbbf2d207	Khu đô thị Akron
f9c2791e29480ccdb47cd6d0310a1891	Sách Mikha
392212	1855
65fe20766bdd593de73e3ae3fe72b5db	Constitutionalism
374946fb3a9b52a41dc2fbe302fc8e4c	Bray
2262435	Kiểm soát tính nhất quán
392182	1840
d19c245c9a692645419a5d75d025b511	AGM-78 Standard ARM
53e51c38f0337be6fcbaf80a85b3690d	Central Florida
9b23a188815b610b3f9453bf2192add3	Johann Friedrich Wilhelm Adolf von Baeyer
439168	Lê Duy Vỹ
83541	Cuộc đảo chính Xô viết năm 1991
54c109429800a3df0626f962fb222144	Tiếng Alsace
20274	12 tháng 5
26388e7e4c45b325391a2d32eae9559a	Center for Economic and Policy Research
341699	Arnold Sommerfeld
541588	149 TCN
63326	1995
e44e37089025863030d2138be1599fab	Cừ súy
c3e99a76130e78d8efa399ba920e6e61	Nguyễn Phúc Ứng Đăng
a25c67ac94057716b759b62fe06c8c5e	Chasidut
53a3106cb8681a5ec76859c21b1361d0	Năm thường bắt đầu vào Chủ Nhật
2456296	Ephesus
ce2880613986f54eb4fc24e4b87631e5	Broadstone, Dorset
578314	Thập niên 1660
3b1e3df79e61dd09d57eb6af5c9890d2	Anna Leszczyńska (1660-1727)
300736	Maillane
20295	24 tháng 5
d782bdffcdd0ab76b0f626e72b30d6d7	Jōryaku
0e0b2c95020a671581cc0eebdc9ef0b4	Berliner Sinfonie Orchester
578328	Thập niên 1550
191791	Chiến tranh Liên minh thứ tư
cd3b69f1edf1611c5cce5029727aa101	Bờ Biển Nô lệ
38308	Bahamas
b44421b51d1ecf1830d1fee5463a7dd4	Fender Stratocaster
268377	TNT
20344	19 tháng 6
5fd65b038c7d3b37a5d1599952a15f08	Cosmic radiation
27310	Ất Hợi
86915	Lê Văn Khôi
3130963	Bán đảo Nam Cực
40fdb424841ec7b0dc502ba5e944010b	Phân bào có tơ
5319	Hán hóa
1744346	Huyền thoại
e4151a7076651237895e0785fb4064a0	Kali Yuga
184647	Ashgabat
531185	721
79ef8f3187cfefd946dcac54d3d275ba	Thể loại:Thành lập thập kỷ 1150
fd5ff2922297a4d4588006517bcf0e47	Bộ ba đàn dây
27351	Nhâm Tý
1279572	Thập niên 350
b9074413862a77561c5e11f427c0fae1	1 cent euro
530400	1433
10783267	Công an Nhân dân Việt Nam
20361	26 tháng 6
13087	Hôn nhân
a77d3d7384d0cbd700b6dec88e68c4c8	Chủ động
24f7caf652ba951930366a1e9dc2809a	Thể loại:Phá hủy thập kỷ 1780
1279598	Thập niên 610
120413	Rudolf Christoph Eucken
529756	1335
3142656	Basrah
5cef51c83cf46cae321f437b0356ffd7	Levi P. Morton
20581	14 tháng 10
272e43f7c1a9f1cfb77676841b5db15e	Thể loại:Phá hủy thập kỷ 1170
73b54b1eecfc59fd409129fd7640828d	Anna Söderblom
47506	500 (số)
16203	Giáo dục
3689187	Bebe Rexha
229305	Louis XV của Pháp
bd3fb8dab87f393ef7b8c6f93da2022f	Cục đặc trách Rượu, Thuốc lá và Vũ khí
f59e23da9cea70ff1a599f13aef6e88e	Phật Lịch
3201508	Bộ Tổng tham mưu Quân lực Việt Nam Cộng hòa
8b3a72775982a9556bbf9a0c93b02f58	El Nasr Girls' College
dd6bf3abb2c7649f6fc71af95400da85	Bộ trưởng Ngọai giao Đức
3524	Tháng 10
530568	964
330d4655320b4ee6465d508a8d0a8ef4	O. Henry Hall
787438	Chào Luang Prabang
ffa21d63361708b85c2812f05c91b410	Steve Biko
90c07981a675adf81f9ca9cc3c0fbb66	Cao Bảo Úc
232169	Badajoz
88b246c34f0ecb1922381bb899fe2d3c	Martha C. Nussbaum
894a1b31da36179d6ab9a72774c8de13	Biographical memoirs. National Academy of Sciences (U.S.)
20265	7 tháng 5
3254781	Combined Counties Football League
541594	155 TCN
1405762	Hồ Thị Hoa
e02cf92695aa1fa18b438be71172e3bf	Baldwin VI, Bá tước của Flanders
0653efa3cf4318245fbbcc2c427a0acc	Thể loại:Sinh thập kỷ 120 TCN
25666	Casablanca (phim)
26014	Albert Camus
43c9d246e29acfebd217d14740993446	Alcoa
b03e375e27bd0bd038f10bb5b815f249	Desch Wander
16194	Chính trị học
35377	Arkansas
c6175dd3ccfff6d995b8870adf6435ee	Thể loại:Mất năm 1989
3203732	Hiếu Hiền Thuần hoàng hậu
3351100	2091
313711	Dozza
780859	Bát Kỳ
0123aa84923989335c4c85001581a9af	Chủ tịch Liên minh châu Phi
49ffb3a4cdc72626fbc8efe4ee434f3d	Phần hà
568781	Auburn, Washington
289872	Antibes
294577	Aïn Témouchent (tỉnh)
e2e903e28222bb5ba654db54a73dd7cd	Florida Today
e61952e71044c0f10f8f78f12e0b182f	Afonso III của Bồ Đào Nha
173344	Diên An
529338	1675
646232	Chiến tranh Kế vị Áo
5d054bf55c472c819ee75c3b35406ba9	Tiếng Elamite
dff524e5f34e7b95bbc6882f750a2497	Khoảng thời gian
f1af84cd3ccb13ffd1d22a14ba0e0e2a	Nguyễn Đăng Vân
32861	Nhà Triệu
3665414	Pashto
0e579880db5948b2a72b6e415cfdf1fd	Crimean Khanate
785983	Long Vân
0394a440c4b3e9134f02f4bc49714019	Thời kỳ Gia Vĩnh
232172	Murcia
856	Nga
18758	Chết
7e98c850212c59393d77a406f64f7baf	Miran Shah
479193	Barbara McClintock
531289	675
20238	8 tháng 4
20693	20 tháng 12
2440841	Walter Eucken
25258612c7e2a7bf15e83d8f089d3419	Dương lịch Thái Lan
24065b8fec163db0f51ac7324ff8ac88	2007–08 Atlético Madrid season
204711	1887
234915	Lê Hiển Tông
7cf3e60e2f2e1d3eebc52c0f523bc661	Nguyễn Bá Phổ
a9571b287acf36f3a919a34239011c80	Anne de Mortimer
1279653	Thập niên 100 TCN
530285	1004
5406	Bảng chỉ dẫn an toàn hóa chất
60842	Jules Verne
3275501	Các ngày lễ tết Do Thái Giáo 2000–2050
ff80423f7f385e93c0b930fc65d6c1de	Ngày Quốc tế Bảo vệ Tầng ôzôn
62ec67f7145655b9291fa9eb4d34fa7f	Hormizd I
dd6a67263570e59420d6b75b9c69c5a1	501st Legion
46f0f3ca12287acc0650c0812a4a2c80	Thể loại:Sinh năm 1821
119344	Lớp (sinh học)
25f9ecdd9d569f87af1ad64eb7729f07	Thể loại:Kiến trúc thập kỷ 80
578335	Thập niên 1480
110598	Hoàng Thạch
530031	1186
183779	James I của Anh
119418	Aleksandr Isayevich Solzhenitsyn
107006	Maghreb
fa0f9ad6b579efc0df4cfa304b25ac8c	Thể loại:Sinh năm 1983
3196094	Huỳnh Văn Lạc
582308	Dục Tú
448548	Challes-les-Eaux
193593	Auguste Renoir
4e3507c371f0d891234132a1a1ca8b2e	Khoán hộ
24431	Sankt-Peterburg
541065	652
27352	Quý Sửu
41e5a3b0f5a0ba3de51c246451d934d8	Khúc Giang tân khu
3cce64591113bf8956943f85fc7bd449	Barry Fuller
1279644	Thập niên 10 TCN
768510	Chiến tranh Bosnia
4bb204db8fa6682dd07f246d2ae715a4	Bành Thanh Hoa
392235	1867
529929	1264
250672	Mahmud II
91468	Taiga
680	H
7bc1ec1d9c3426357e69acd5bf320061	2173
0a12f5b0a8794f4c76ed94cddd342fd8	Alan Ball, Jr.
800849	Dora Maar
63726	1981
530441	1465
39c9da1e1b433089d998225a5d5438c2	Arena Națională
530548	984
2584	Paris
27316	Kỷ Mão
84397	William Rowan Hamilton
289c2d174dcba489e82295fc47aba218	Brian Doherty (journalist)
5d66f7d5cc8444852afed6afbd94e0b3	Bundesdruckerei
28586	.af
a12495f6640eb8f57caa8d58c86bec44	Công trái phiếu
312632	Sáo
e40bf6a8834e9361e2481232806eaa29	Bảo tàng Pushkin
b729b36ecc76f4827738a7b22e944d71	Bureau of Democracy, Human Rights, and Labor
ff936ee903c60ec46754875e3dff4f85	Old Mandarin
3147851	Đại hội đồng Liên Hợp Quốc
32994fbef450d08259268ce1a6bbcfb8	Heraios
17b66e456a64fc845294ef66ad2d5b7b	Bảo tàng thành phố Tarfaya
3389218	George V của Anh
ccc3d3c1115fecdd70887af22ba795ed	Tiri, Estonia
12450058	Andreas Christensen
3501769	Trung Hoa Dân Quốc
80b0ca33d3376c99789ba84ff2e8da93	, 10 Earl của Buchan
70685	Grumman Aircraft Engineering Corporation
416497	Lê Bảng
2129	Người Việt
0efbc80885af54ded0e7e5accf649dd1	Olaf II của Na Uy
528913	1748
8b2d493a51e324d6632d8552c2164c40	Shreshthavarman
3116665	Diên Phúc công chúa
1a2b41d53c9f07f5bdce84dfc1817798	Binh đoàn 16 Quân đội nhân dân Việt Nam
11815714	Bangtan Boys (nhóm nhạc)
b6ad4db5205a977d3ed19cd2407a5fc4	Vik
529720	1325
823fc7bf269c4c8692cfc78a037878f7	Xung đột Israel-Liban
5142d1a734c360c7bc8dc02fe7f9094c	Lời mở đầu Hiến pháp Hoa Kỳ
dbbbd43e120126de2826a8154043e5ca	Constantín mac Cináeda
400080	Tư tưởng Hồ Chí Minh về công nhân
dea1f80a41b779f6209ce95ec89ceb13	Trận chiến vịnh Quiberon
529182	1544
69311	Bức tường Berlin
586171	Aarau
530144	1098
239154	.edu
a629683b5c97f8e37e721620f3b4a0f8	Danh sách người từ New Jersey
20550	29 tháng 9
530233	1080
317d438147b0e6e202f4e81592ab6d46	Thế kỷ 1 TCN0
dd94de15c2b0bfb9efc4a2037ffb5b24	Chính phủ Romania
815223	Jane Grey
2bed6c1844ffc333a110b4db11f767ec	James Ivory (mathematician)
530608	917
9747ef742d007a76f7b0e1691a668be1	Meganthropus
41492	Bahrain
82726	James Madison
201756	1773
541614	173 TCN
107932	1948
cd28a51d02b1f7de6b933450b618b66c	Thể loại:Sinh thập kỷ 130 TCN
531885	476
170cc79e5395af6ed215709709612873	The House of the Seven Gables
1279659	Thập niên 160 TCN
c6d30c3644cfdd22fb07c2bcb1494be2	Henry Constable
dadc8c99bd09399be4f474dea6af58f9	Danh sách Cá của tiểu bang Hoa Kỳ
2f4aa10d5a095490ceedbd00aa6135f8	Bảo tàng Galileo
3581035	Glarus Alps
530892	884
f8730bd6b16ff85ca81de56082edff70	Spenta Armaiti
540964	252
530502	1492
f30d58f2fc9eb6500992df5b7b558d6e	Meio
00987571017c0ac144409a583cd5337e	Al Williamson
578300	Thập niên 1770
388013	1841
70760	Saarland
3285148	David Lloyd George
120654	Henrik Pontoppidan
532174	436
4fbfe50dcba91de4f31acc6f0372192f	Octahedron
2aa654e5610b2a5ede07385665eebf68	Bảo thủ về tôn giáo
531762	508
204710	1888
7ee5e8b2e750cdd579fe512d9510bf7b	Bài thuyết trình về thuỷ triều
9339db17f7072ef126b06c651fd59ade	Bảo Tư công chúa
2eaed7ffb5ad8f12c4a39a156880be43	Jaime Báez Stábile
99df0ed9956e344b14c7ee4d75ca98eb	Bầu cử tổng thống Hoa Kỳ, 2004
bb15c9ebf5e71575e76852b13a039ddb	AVE.Com
87195	Học viện Không quân Hoa Kỳ
7da833f24fa7e2fa38c7ce01e3ec58b7	Bầu cử Tổng thống Hoa Kỳ, 1864
464831	Bình Đông (huyện)
530535	938
95149	Hậu Hán
e26118084fd3e8c26c83d215279d3574	Duncan I của Scotland
af9aafc6e33044908c9f5f9812da2bd9	Bang Orange Free
a9d32f93ffcb5b8debed81e9b08bcc14	Bà Chiểu
20591	20 tháng 10
3349642	2110
267558	Mustafa III
954	5 tháng 4
820496	Ann Arbor, Michigan
3645959	Bắc Carolina
80746de64fd6b6f800f51b950073af2c	Henrietta Davis
107899	1929
529759	1338
f4af4821c0892af8c11415f4006954cd	Không, vì tiền tệ bị hủy bỏ
530010	1193
9cea79285d57b9cd583382e838949549	Thể loại:Phá hủy thập kỷ 1530
2412937	Hành chính Việt Nam thời Hồ
c160381bc36d8abaf452bdc4ded7d70b	House of Lorraine
26904f65290b64ccb6064033fb826416	Thể loại:Thành lập thập kỷ 110 TCN
ded1bfebdda4156520db8aa991caf2ea	Atlantic coastal plain
445462	Giáo hoàng Anastasiô I
3242709	Latinh
7319d34e85ff43bdf17dc14e6901ad08	Hiệu kỳ của Buffalo, New York
187432	1896
624d876aa75e46674df1c4249038764e	Thể loại:Thành lập thập kỷ 1780
129819	Avram Grant
156902	Danh sách di sản thế giới bị đe dọa
238005	Danh sách máy bay theo thể loại
4659026f410ef8952beea17791527edf	Anna of Austria (1528-1590)
31488	.bm
e7356e1d4973f758a4bba1a003b57e4f	Người Altai Uriankhai
446411	Hệ thống Bretton Woods
530674	929
5bcd60d8fb46f44825dfa8a29b27476b	American folk music revival
14784	BoA
7547	Ba Ngôi
30b791ea41540ecdcc2edd83ecdfab94	Civil war in Afghanistan (1996–2001)
820192	Leominster, Massachusetts
e8c1f65ad4cb6d8773a700b6484fa1c0	Lịch Nanakshahi
817682	Weil am Rhein
2218848	Báo Bắc Ninh
37829	Sử dụng hợp lý
972ef3cb02caa83ce60d71bc15ada0b5	Thế kỷ 2 TCN8
79167	Bộ Giáo dục và Đào tạo (Việt Nam)
104620	Juan Ramón Jiménez
506549	Chiến dịch Lvov–Sandomierz
792144	Hermann Staudinger
3670206	Chu Cương
20702	24 tháng 12
8cda93b2194cf0c818e1c738ea717b7e	Chí Thiện Vĩnh Xuân quyền
2358900	Joseph Smith
541633	189 TCN
86806	Nguyễn Văn Siêu
27361	Nhâm Tuất
528455	1703
23282	Sư đoàn 1 Bộ binh Quân lực Việt Nam Cộng hòa
3642347	Bắc thuộc lần 4
809822	Hoàng Châu
3699231	Chiến tranh Bảy năm
0d4cb9901e60f259ec53f1fb1a7ed606	The Jewel of Seven Stars
b02fdbeff3ad09084a0975c20ad318a1	Drumoak
08ce1fa6cd7d5b21c02c8949de26db51	Ngày 1 tháng 4 năm 2003
107020	Quý Cảng
530055	1169
01e1f74502292f75146950aac0acbd51	Adolph Northen
d1c4615b349489961de41934cd03dcd8	Thể loại:Sinh năm 1830
df72637c5d1f9cb4d1aa6e073d3c687f	Aabybro
151077	ISO 3166-2:AL
6d0bbe98c8c74e66e35c0ead8b594e12	An Nam sử nghiên cứu
d9aa8a504d17643d09bea27c66eb1396	Earl W. Sutherland, Jr
20704	25 tháng 12
4613	24 tháng 4
6e054c86ba2616e1a1d7a9525327aaa8	Al-Shafi'i
529935	1270
399f7f74e5927d0a2a373fb5b74dc2cf	Dấu Jacobi
780aba6d08d914c27f163723510c6a42	Khởi nghĩa Đô Lương
a71fa1b24e4a22f35986bab15bfd4fb3	Long Chương Thiên Tự
529310	1656
392219	1859
9957ff835074142ff2c8f0bead6ebbd4	Faraday cage
191820	Daimyō
530606	916
724f062619b044e5e6b25bc6af031bb8	Classical liberalism
3152293	Joseph Vaz
55f8fc0c8fc6bb16c1036a8f9c1847d2	Bộc Tán Quỹ
2361352	Chi Giang
530107	1112
28603	.aw
3d7d93fa92bf3bb7e7bb9d7193d7adc8	Bộ Phòng vệ Quốc gia (Trung Hoa Dân Quốc)
353372	Fulham F.C.
274952	The New Yorker
49f8614e5690e8e6b8f2c117293a53b5	Fragmenta Valesiana
e1a198209393f9d2cdcdb357f45df92c	Mosses from an Old Manse
530672	928
26865aed73b4be987be822b83e7d94ca	Badwater Flat
102127	Những người khốn khổ
e924dd214e0c2242378843d7a0045878	Maxfli
384353	Năm
531909	452
71207	Franklin D. Roosevelt
540517	305
f6030dc59a073b2c9d9771a5d84d4603	Cửa Nhật Lệ
10745	Người Dao
294650	Hoàng Đình Thể
26086	2005
578294	Thập niên 1810
9bfc6828d55bb93f5985faf1f8385df5	Bruce Cumings
31835	Ernest Hemingway
184615	Douglas A-20 Havoc
530284	1003
198345	An Hương
1279614	Thập niên 780
b5c786de7491b7b09b0dd9f61700f2e1	Lưu Thừa Hữu
42059	Lê Tương Dực
1279606	Thập niên 690
1d4ae4b44c1fbcf97ff4572500eb4976	Heinrich, số von Brühl
20269	9 tháng 5
541581	142 TCN
2e69eca479cf352c3db60137c2365f33	Sự tan rã của Antille thuộc Hà Lan
140482	Bắc Hán
826194	Ahura Mazda
250581	Bảo Khang
540880	82
53760	Thể loại:Mất thập kỷ 1710
b35a2e5e464dcbbc3298ae0823746fe0	Marcel Delcourt
3283	Năm nhuận
531168	707
6e8b86680e08eae708eac22cc75cc80b	A Welcome to May May
60150	Lòng chảo Tarim
518899	Các vương quốc cổ ở Việt Nam
892536b4e0cd4837ba4bf156400a5c7b	Dương Quảng Hương
d0557d0c46089d7c71daed26342ef3e8	Cầm nã
75c0a94f11471c2a174ef80d6ea5a4bb	1980 Summer Olympics
1ecec226c2b1b2e7488a2c621a4cc2b8	Louise de la Vallière
3198747	Biểu tượng Quốc gia
28637	Khúc Thừa Dụ
182961	Bram Stoker
e847dddc54ce13f63dc0cbf8cb774f21	Bombay Presidency
771b4fcd5c2920e1e5ee53136d114bb8	Kurier Warszawski
140232	Friedrich II của Phổ
807bb283ef4e23a588f8b84834ffa326	Trần Tú
530220	1089
41678	Kênh đào Suez
3347497	2024
e2629e9d2360f89159d1a73d570def4a	Hùng Vương thứ X
406984	Auxonne
387969	Chứng minh toán học
323412	Bò (định hướng)
150959166eaa6c0ad78f85c408c27bfe	Lịch Bắc Triều Tiên
2439413	Frederick Townsend Ward
1279657	Thập niên 140 TCN
1e2f52390de4a15d4bf5bbf5d97c87a0	Chủ nghĩa Kant
713f597f065e844e80b446fc932db6a1	Nhà thuyết trình
2cec13419129ce91dccfa37ec1ced761	Abraham Ortelius
12732562	Tin Lành
e172db22abac9aff0244e2dadfb3d5b7	Albert, Phu quân của Nữ hoàng
f1a363dc66379e9ac78721cb66d5600a	A Night Out (phim)
947363	Catarina thành Siena
b9e43ac7927f27c27c3dfe6b0fc0b5ff	BBC Radio 4
1439720	Bắc Ngụy Hiếu Vũ Đế
543253	Chiến tranh Nga-Ba Tư (1804-1813)
353165	Ballet
528995	1611
172094dad5a84f16a500f62979941b2b	A Force More Powerful
68096	Lý Thánh Tông
9551a950e11af917f8c88e4113d095cc	Alan Hutton
1599648	Lẽ Thông Thường
3401603	Thể loại:Mất năm 1535
4e90723ed05e045582daf2c4dcc38bc0	Abu al-Qasim
531073	1395
af4696d61d0e8233394b2e136fb281fd	George Williams (Hiệp hội Thanh niên Cơ đốc)
1638	Trái Đất
47c68caf8b4ca9e22639f3a389b8655c	Quốc kỳ Benelux
540784	169
ccae068a96bf2ff2214f71577618583c	Thể loại:Sinh thập kỷ 90 TCN
d6a174b2b54f961045cd4556ee7cb8f4	Buddhist calendar
1646530	Hiệp ước Lausanne
435567	Akbar
d2f89f35bb342beb20d4c42e1b7adf8f	Thể loại:Kiến trúc thập kỷ 100 TCN
572761	Bộ trưởng Gia cư và Phát triển Đô thị Hoa Kỳ
3130948	Hiếu thảo
448787	Trăng xanh
15959	Bắc Bán cầu
b69e8fa59548123f31a898619515dfb7	AGM-87 Focus
2412e5aea879ef912e9456b7b22b4c51	Lịch Dân Quốc
ea0eed0c717a965d6bb26ad099cefdd6	Equatorial ring
957df0119c4e8839ca35232c58a3c8ec	Lịch Hindu
184304	Thiên Đẳng
7ef4081b4275918116c51062c0d291fa	Max Scheler
578308	Thập niên 1710
1406594	Chiến dịch phản công Rzhev-Vyazma (1942)
796	Tiếng Anh
194759	Kerala
530384	1419
6533975	Charles Lyell
0b5447c6196ed8cbb5a68140a9f821bc	Chấp chính quan La Mã
2260801	Walther Nernst
40876	Cộng hòa miền Nam Việt Nam
16551	Nhà Hậu Trần
67012	Céline Dion
341626	Sách Lêvi
c300ebe6dcd5a6b48a1d22ac73aa131c	Connecticut gubernatorial election, 1816
