7c9440e10716d369554c9e59f2f76479	Språkrådet
3b4a8c7d5a84caf6a5ec62746486747c	Công chúa Eulalia của Tây Ban Nha
4e941c5bc432d15f17452d0b4444ad4b	Trương Chi Giang
2261000	Chiêu Hiến vương hậu
570069	Angerville-la-Martel
34308103539e5508ceef3774846eb38f	Chưởng tiền Bảo
1667381	Bạo chúa
0e0b2c95020a671581cc0eebdc9ef0b4	Berliner Sinfonie Orchester
a11d8f47744a0293db4e48930821308c	Khởi nghĩa Tạ Quang Hiện-Phạm Huy Quang
2cde6dfe68018f712b63b61b7757d516	A-001
15693d74c3c4195dc714c681e86f2154	Kỷ băng hà cuối cùng
6403e0d05b243931fc80bfd7f57eab61	Anatoly Vlasov
9b4b5ee7f052ff96fcaf34d59346f242	Tự do sở hữu
388040	Bahamian dollar
574099	Nada (thành phố Kobe)
20344	19 tháng 6
7514484	Di tích thời Đinh
283045	Autry-Issards
312567	Hội đồng Nhân sĩ (Việt Nam Cộng hòa)
96a8acbdfd0f1e6da3248428fc8eb8e1	Astrium
d542478d6a29fcfa98366843b3bda249	Carl Theodore Liebermann
d48c35712aebe82cff9680a9e839d578	Ichinotani futaba gunki
1279572	Thập niên 350
513939	Chloe
225498	Cù Giang
10783267	Công an Nhân dân Việt Nam
541534	118 TCN
45e83a9ddc4f4879219bd83597ad3b1f	Desiderius
61072	Sơn Nam (địa danh cũ Việt Nam)
fb19118924f80b85a79da93cb776a57d	Castellina in Chianti
96430e39d650da19b702c4ab50508467	Chiên Con
ba61fbf0a45e4f44da5dcfd4546a377d	Chính trị Antigua và Barbuda
810105	Fes
231241	Chu Khúc
43b3894f1244aa0e96a043ecee743461	Excel Services
1915f5b7072a7f66e79b7036cf04a982	Vương quốc Anh (lịch sử)
2e4dc1239771f9f9ef7931a111cc7007	Thiên thể tách ra
16ec2f5501fe1db785b8f1a4fd7ab032	Hoàng Ngọc Lung (Đại tá, Quân lực VNCH)
2f172513f3ad05c0f09d49aa1e2672b9	The Williams Brothers
70a6d0db8492b04081bd6e7528467af2	Liestal
3689187	Bebe Rexha
565f97641f34ec3fab73abefce4164fa	1600–50 in Western European fashion
2d266c7c4405741dd4f5048b5903fb95	Hedwig của Pháp
11684229	Kính viễn vọng phản xạ
66de4258815d62ad8f10d8ed418a3479	Thể loại:Sinh 612
1316335	Chentouf
dd6bf3abb2c7649f6fc71af95400da85	Bộ trưởng Ngọai giao Đức
107257	BLU-82
530568	964
1024218	Cao Văn Luận
794556	Vùng hải ngoại
172796	Bảo Sơn, Vân Nam
b331315ec4a1f8f46cd94018b2c59e88	ATP Hong Kong
89649	1963
90c07981a675adf81f9ca9cc3c0fbb66	Cao Bảo Úc
d44f1619ee4dbb3c594e534dd5d8a097	Dwight Foster (1757–1823)
822479	Huy chương Hermann Kesten
40743	Ivan I Danilovich Kalita
9273bff46a23bc4959769421627169db	Thể loại:Sinh năm 1843
0f4bb000961d1a50033ea8866aa6f294	Hiệp ước Tilsit
5f1340c9777da8a7efdb9ce82ca8a19f	Hòn Trống Mái
1262496	Kerguelen
a0ce3efb153105bf9166933b2277e683	Glodok
64c4b2a058d29b389bbcd25a7dd35bf9	Battle of Pfaffenhofen
7e9d09e7e58ab89f05dfacfd5c69484c	Danh sách các tiểu hành tinh: 110001–111000
dfd0ca55e156e1a2437f9fc27935fda9	Đại bản doanh Đại nguyên soái Lục-Hải quân Trung Hoa Dân Quốc
35377	Arkansas
cd7e16bd77f6db65b3a6ad27163fbb5b	Đắc đạo
346647	Biến chất (địa chất)
2426	Nước
437588	Kế hoạch Sư tử biển
477f92474b0770cc0292c4d75fff373c	Antonio Denzio
796395	Mahaxay
9cfb7703e14f4be82e4d347be88b2b61	Thể loại:Phá hủy thập kỷ 1710
6da3fca58c4cc8dce3c8e06e270c4027	Glass fiber
44bb4afbea0697a308eb970301d7c6fd	Theodora (thứ 6 thế kỷ)
f362b6c750e4afb4c3e8eef9fc898d15	Nhạc cổ truyền Ireland
2426659	Juneau, Alaska
ca19cbada6b8a9976488ca65c1df0060	Trần Dạ Từ
3685581	DNS
529338	1675
3277277	Allmovie
1750113	Dây chuyền
304335	Arville, Seine-et-Marne
92279	Guayaquil
a7a1b056ab1d987506a75fc077f6b8c7	Danh hiệu
785983	Long Vân
ea69fe6f31d2389fbe6d98f1b784572b	La Paz Department, Catamarca
23f9c1e2067564a266af3847a1178129	Erlinsbach, Aargau
44244	Bao Công
8a4b7a027e770caffaf1aa7fab453222	Trịnh Nhu
c96dbe2b66a2574c5093dc2f931e85b8	Apollo 14
549787	Artabanus IV của Parthia
204711	1887
59670	Y tá
32948	Đài Truyền hình Việt Nam
1746610	Chu Ai Vương
bf0fdebcef02ad00d93ab37ee45b20d0	Kỷ lục tốc độ phương tiện trên đường ray
b753974ac8d478ebc5e6480a470d9843	Alexander Payne
35281	Rồng
91cf32dc22ea7c2a4649bf6e5e668e6d	Clontarf, Dublin
212ffa78f1bbc121a1ff8d7b13f151c7	Adobe Content Server
e88464ae384ead80ae2daabca2ed0ce4	Fridrich II của đế quốc La Mã Thần thánh
3ed0f4597b07bd103781dfb47e39dcab	Báo L'Humanité
92635	Barranquilla
22147ee92241c4e74265ad526d2c917f	Air Choice One
193593	Auguste Renoir
4e3507c371f0d891234132a1a1ca8b2e	Khoán hộ
73226406b4ff381374d4b80f07ca0253	Celestica
777922	Espelette
11120e8a971076ca3fbae11ba4c4921d	Bùi Đắc Lương
603e9beedf602ced94205a075f93e5e3	Thể loại:Phá hủy thập kỷ 760 TCN
e724115ef807bf2caac2e1f371b12bfb	Pescadería, Cộng hòa Dominicana
7459262	Heinrich Lübke
250672	Mahmud II
01e92a688e7450ec007757adbafffa15	Edward Albert Sharpey-Schafer
680	H
8d22c649f25c138eb1682a26b9192a4b	Shavuot
7aed48f7248870ef13d85571ed0a414f	Hoàng Văn Kim
d61ce1170481f726fd0f5be05d372d5b	Los Borrachos
126aefc511584f64932a11647cbdb9d2	Bad Salzschlirf
3504461	John Neal
492162	Quận Arlington, Virginia
172887	Amenhotep I
530548	984
39980	Lạc
3bfac2acfa25a2b3becc4802b5cbd29b	Đại học Würzburg
46b841e59c9ab36e53104d173bb37eed	Sea story
1762340	Alison Hargreaves
3251840	Các nước Cộng hòa thuộc Liên bang Xô viết
1301286	Quận Jefferson, Louisiana
3704729	Hiến pháp nước Cộng hòa Xã hội chủ nghĩa Việt Nam 2013
ccc3d3c1115fecdd70887af22ba795ed	Tiri, Estonia
12450058	Andreas Christensen
83a7472f113c711727f595ce990f792c	Danh sách vua Nam Hán
33d6854d0c0cd735ff3743cf08f03902	Antonio Carbajal
588600	Bãi Dài (Cam Lâm)
416497	Lê Bảng
528913	1748
1a2b41d53c9f07f5bdce84dfc1817798	Binh đoàn 16 Quân đội nhân dân Việt Nam
119319	Họ (sinh học)
3c7f1eecd2259dbf8616727f344658e9	Alfonso II của Asturias
12699176	Cracking (hóa học)
cfa6453550d5cca7f99a71e99cad8657	Trafalgar
11456712	Ngoại giao Việt Nam thời Lý
e9e3b6571409e1e2befd70549f6fcd5a	ATK Định Hóa
1a7af0981c228fc31a7c4b0de9d4b337	Bản ghi nhớ E
f9fd0c922b0881e7c62b43802e14efbb	Robert W. Healy
8a01903a3c5294890d24ad67c458b376	Các lực lượng vũ trang Liban
3129803	Lào thuộc Nhật
6d4878779621484cffe96121e937e293	Berekum Arsenal
1f1c38e5536ad3957f84b0c6086bdcb5	1998 ATP Tour World Championships – Singles
830413f7bfc70c96cf1b0def02cf94f8	Biển D'Urville
3dcfb357e379e78299e204b019afe375	Hoàng thân Henry, Công tước Mecklenburg-Schwerin
a629683b5c97f8e37e721620f3b4a0f8	Danh sách người từ New Jersey
63bf40cbd23145d296c15b8d6d9788ae	Hạ Bạt Diên Tự
1325915	Thuần Trinh Hiếu hoàng hậu
5eb373610f79450775386d061b43b9f3	2001 Wimbledon Championships - Men's Singles
526642	Nguyễn Đăng Giai
540706	220
28256	Cúp bóng đá châu Á
116786	Nguyễn Văn Lộc (định hướng)
530608	917
84a489e27feed680e902fdc88ccff4bf	Adam Clayton
640217	Delos
b841c9eef1d256560bc4d377185c77f3	Be Blues! - Ao ni Nare
87913	Cuộc thập tự chinh thứ nhất
354512	Sông Đa Nhim
119379	Thạnh Phú
655e1f6447c040b1d79e229d272a327c	Giông tố (phim)
297832	Palestine (định hướng)
77990	Chủ nghĩa toàn trị
c555b9a11f70796d36232dd080fe9c82	Ben's Mill
2660a8c5e07c0f4ef1e2f2bf043d2140	Rocksteady
277077	Bustillo de la Vega
494464	David Cameron
2261082	Arne Tiselius
388069	Hoàng tử
1883095	Chamorchis alpina
95ed6e075a254fa5cce4ad7b64e8b962	Công viên PNC
754c6f9412f6b63304ab6ef1c430ab4f	Indies thuộc Tây Ban Nha
109234	Lòng lợn
99df0ed9956e344b14c7ee4d75ca98eb	Bầu cử tổng thống Hoa Kỳ, 2004
bb15c9ebf5e71575e76852b13a039ddb	AVE.Com
4026b7681293fb026da4baa10346fc66	John DeFrancis
b5cdea2955f451aa064772c513fdde03	August Schleicher
117144	Antoine-Henri Jomini
541042	633
95149	Hậu Hán
862870	Tả Phìn, Đồng Văn
9d5001f0b533db35b0143a5e040d2cc8	Hội chứng Proteus
a9d32f93ffcb5b8debed81e9b08bcc14	Bà Chiểu
530774	840
888684db7f709ed9da43a043fdecc43e	Billings
827699	Sderot
222975b57fa24fd0d1bc1ecf1f5ec4f6	Lycée Bonapart
bc2f5d05d75ab384ca932b379e35fedc	Bartel J. Jonkman
813589eb11311610602b3864dcbe887d	Dáng đứng Việt Nam
e70afa8c12388231f1c0644d0689e9e5	Do Ân điển của Chúa
94933	Bihar
63fb89f8ab31310769da9553d362ddb9	Ngăn chặn
3680000	Đức Quang
140898	Amerigo Vespucci
9686bb140e2235310a284cac80d86ae7	Konchanskoe
3404342	Chung kết Cúp bóng đá Nam Mỹ 1997
577413	Tucumán (tỉnh)
2c95ef548f043ca220d59855c6561464	Dionne Bromfield
136777	Ủy ban kỹ thuật điện quốc tế
03ae672e83357ffa96707f84bef6a8b6	Charles Dumoulin
e95d1058655e84df5408d7dd4f5a6b9b	Anna Karenina (Phim truyền hình 1977)
861c6d54a5e19ec81c0ece7fb1a1b964	Fuel oil
186710	Marie Antoinette
27358	Kỷ Mùi
02fda20864f615e3e3e6363d65946e3f	The Roommate
11cfcaa1f38928b51c93191df88913f1	Hyperbolic quaternion
1469414	Mtskheta-Mtianeti
cb14da066d106e90eda9fccfb7ef9edf	Anh Quốc tại Thế vận hội Mùa hè 1908
506549	Chiến dịch Lvov–Sandomierz
ac0ab4938e12730e13ff0aafc4559309	Chiến dịch Cầu Ngang
fb6dbfd729ddc37a9a23068f1c64f0a1	Basilio Valdez
b06866f6d172639ecac94fe001c53ac3	Bạo loạn Los Angeles 1992
62d4b60b36b12979882dea2c7a15072c	Tổng cục An ninh II
2ff927ca37a068b518219d69ae3d5777	Quả cầu vàng lần thứ 70
b86f7c9dc1046b6ba8a0de3b7ea9e0f4	Tôn Thất Huy
9871	GPS
809822	Hoàng Châu
2226385	Kamov
689a083790abb5ca5b82c409c61b440b	Adolph Hurwitz
004b3b018c5d56bc132037c4d1fca920	Considerations on the Government of Poland
b02fdbeff3ad09084a0975c20ad318a1	Drumoak
8eab500c95bc6dcd64b3ef7a9da2a5ba	Julian year (astronomy)
845455	Cây thông Noel
1994c5c35e19d75704416c1274dc3cb5	Lê Tuân
1a43473bc29cd1bab05c14ae72f441a7	Lễ Thánh Martin
806687	Chung Sơn, Hạ Châu
0ae543f8f4283bd018366fbebb30a4ee	Bảo tàng tỉnh Hồ Nam
c7e4482b8a2549ca802be514f8820f08	Chiều hình hộp bên trên
1519231	Helios (định hướng)
126565	Nội chiến Tây Ban Nha
c7d40877dead19ee47371e5c74204b17	Idries Shah
c0c52146b4f92f6060dfcd481871642a	2014–15 Southern Counties East Football League
8ca496010308176ab1ee5a0f13538973	Giải quần vợt Mỹ Mở rộng 1968 - Đơn nam
400822	Asian Football Confederation
487e8ced1778fd25531c4861840b9bd7	Liều gây tử vong một nửa
529310	1656
030e35b93fd7c5bda3c0a9ba198bc58a	Charles Stebbins Fairchild
9957ff835074142ff2c8f0bead6ebbd4	Faraday cage
8453e6987131dc0f6021dd62d9c13b8a	Berta Scharrer
a752c64f578b090068008a0d97ad0747	Chất khoáng (dinh dưỡng)
55f8fc0c8fc6bb16c1036a8f9c1847d2	Bộc Tán Quỹ
b8838a32d0016d3a6728cb3afa4c2d2c	Dally Duncan
257279	Lee Da-hae
353372	Fulham F.C.
7d4841cb50f3b8cbf2ca45c4148f6ee7	Candidin
205338	Chỉ Giang
530672	928
f9b8ffa4f55b5e0e23b5fe91717aaf2a	Ad Dawhah
ee6b750cd711c5b7324cbdd45f19b77e	Cải cách Minh Mạng
ad1d9c6e9305e499859be262f493f9c7	Chi tiết hóa chức năng
69a79a80758d117a7bfa74ae2dcd58c0	Cuộc vây hãm Saint-Florent
91c5f6f8b82d827871977e6e2c619ee1	Danh sách Thống đốc Guam
19462	Thể loại:Mất thập kỷ 1950
384353	Năm
364574	Tân Mai, Hoàng Mai
0c0b0d0c86eae5b3b595d70547a8a4fd	Charles Jennes
294650	Hoàng Đình Thể
529602	1565
3303519	Chiến dịch Battleaxe
564034	Lương thư
65adcf16263ce901c2756880826d7944	Dutch East India Company
1100613ff009f03a64820ac99d98322c	Chữ đậm
98546	Đường lên đỉnh Olympia
29dc0e93ece6411e12ddc1272250cdb9	History of Star Trek games
2962d85de73346e23a27dcc2c7126467	Comfort Stand Recordings
1ba181a25a2c5920feade89b963b1830	Cục An ninh Ngoại giao
323598	Cheongsong
32586	Bão nhiệt đới
826194	Ahura Mazda
548789	Lê quý dật sử
2037	Hóa phân tích
540840	128
1163140fe2e8663aaac7dd2467295a4c	Rock Creek Cemetery
711860	Bảo tàng Lâm Đồng
71079	Puy-de-Dôme
fe14e4ef0ac3cd39d435b14e8cdabeda	Andrew III của Hungary
18353	Associated Press
52082	Vũ Hồn
0dce944fdd51333db5d54e3398070609	Bãi Tự Nhiên
436033	Chao Phraya Bodin
4b6a585e27315d497940c413f5b467d2	Hệ ngũ phân
606d9cb60b97d8ca0fa88b7b6c337ef2	Amyntas của Galatia
807bb283ef4e23a588f8b84834ffa326	Trần Tú
571653	Bộ trưởng Nông nghiệp Hoa Kỳ
3700136	Phong Điền, Thừa Thiên-Huế
41678	Kênh đào Suez
2418604	Số sêri
7317652	Hank Pym
5544bab36cacd9403cc315426101777f	Miền ảo ảnh (mặt trời)
530873	875
118973	Tể tướng
270252	Es Mercadal
f13e85cdd646cc3834c393d9735c8abd	Hải quân Hy Lạp
497747	Phóng viên
eec6bb73bdc9165d3d46aa7029f3a4c3	Campanian volcanic arc
c90f59236835bd0955e211001de5743c	Chateau de blois
3269732	Bão Patricia
5efe94a319637a00ae7a44c77682cd96	Cognomen
1439720	Bắc Ngụy Hiếu Vũ Đế
46d1b54097e02afc5bdb9a85b8be79d5	Thể loại:Kiến trúc thập kỷ 1140
8280984357f1e160253b084739ed6dec	Jupiter and Trojan Asteroid Explorer
783621	Durango (bang)
63c9cdd445b3aa2a822c1fc458dc4969	Thập niên 2200
20e2561db523bde05f37b302d99828bc	Chiến tranh Khiết Đan-Cao Ly
60535	Hen suyễn
2413504	Hình tượng con hổ trong văn hóa
3676248	The Space
03b4d71bc63040511986d9c9a52a3f60	Danh sách Giải thưởng Nhà nước về Khoa học Công nghệ
08a89ea87f7bdc3755e4fae19c03581a	Công cụ tài chính
800784	Ban Lung (huyện)
24ecfbe376a82f09ad48bffc6b8d6a87	Polynomial
92bfc990fa27564bc2a2584be7386b73	United Methodist
61deabc5e9018be65fd9949c741dbedc	Forks, Washington
461557	Alexander McQueen
89ed130ca1f2dee3fa4b8ffb354c9cb1	9999 (số)
9be7097c760d02cc8b1887c0dbb54743	1961–62 European Cup Winners' Cup
324298	Cộng hoà Trung Phi
276365	Tây Ấn
90889	Antôn Nguyễn Văn Thiện
e75b473ed203a4e65e04f13e4f4439e6	1948 Democratic National Convention
ea0eed0c717a965d6bb26ad099cefdd6	Equatorial ring
3257051	Thor 2: Thế giới Bóng tối
d7441916142bf148e6b0b85254bf2a6b	Hội đồng Quốc gia Lập pháp
527239	Thể loại:Mất thập kỷ 20 TCN
2454689	Danh sách các quốc gia theo cơ quan lập pháp
4773	Chiếu dời đô
a325a71864295d3d3c0894b1db6d5ec5	Edward Charles Cyril Baly
b83b584e9cb0ef36bbdc11ead8b4303c	Tanjung Priok
6bf7c75af2e00999863ea92c8363772d	Bất hợp pháp
123589	Vương triều Chakri
a610572fe3e8ba250a9e0cf8e16e020f	Thể loại:Thành lập thập kỷ 750
67012	Céline Dion
0a08f080fe6c1d5746238c890b8496d0	Mộ đá Viera
008140c9f623954f0e9aec4e47b0cea5	United States Secretary of the Treasury
1747460	Hạng Trang
805bc87ec37dc6b8d3a321a34fe9b0a7	AtGoogleTalks
19354	Thể loại:Sinh thế kỷ 8
423243	Bão Mirinae (2009)
63605	Lê Thái Tông
f666c14269e998879fd05f9a7e6e23d6	Cory Booker
92e0a15ab6dceb8f7ed43fb23de20f83	Seyla Benhabib
471143	Danh sách các đơn vị hành chính Hồ Bắc
813522	Zêqog
541119	20 TCN
063d37903f53799671cdf97fa525e196	Thể loại:Kiến trúc thập kỷ 1580
281269	Báo Thanh Niên
41395	Bảy Viễn
109823	Trấn Giang
39608	Kiribati
814195	Đạ Huoai
246932	Chiến dịch Hà Nam Ninh
27579	Đại Cồ Việt
10200602	Cộng hòa Nagorno-Karabakh
5e9c05f05907ac9e35d899ab0164adf7	An sinh Xã hội (Hoa Kỳ)
d7082545982da726a7eda4174a247bea	Bain Al Jisrain
1458148	Mary I của Anh
78007	AGM-158 JASSM
80559	Bưu điện trung tâm Sài Gòn
318963	Combrit
fac65e9a485b9cc9d674c59a126ae5d5	Danh sách các tiểu hành tinh lớn
3389397	Châu Mỹ La tinh
8827257e11d18fe188144a586023e2ba	Abdullah Quilliam
6efe797b79092e52cc6dad5245fe292c	Quách Kham
44019	Phạm Lãi
7c2f461664e6c0de254064c264bd89ae	Computer Aided Software Engineering
60513	1988
553473bfb7226d38388838afca065ca4	Albert Einstein trong văn hóa
1402174	Axít nucleic
16fe0291651cacace75251c50ff06e0d	Wang (surname)
210518	Denzel Washington
e4c5dbb42515e3c704cf45a22ddd48cf	Chanchellor
c3dbd8c9b6a9237396478be73607a794	Arab world
4e761d0b4a1e070c957a475b87931cd7	Siegfried Marcus
3b0a23a58c16af091d30e11cf3384805	Philip Feeney
c1f8f7425ee70b99abe6926cd12fd5fe	Arsenal TV
3290264	Roland
68151	New Guinea
2261076	James B. Sumner
1745357	Nowruz
dc8d2814498c1114798da2e522246e3b	Dracula: Pages from a Virgin's Diary
25176	Hậu Tấn
e07bca30e5149728a4c39dbdff0f717b	Người Moor Sri Lanka
708bea70c167287557ff5b062b7bde68	P / 2013 R3
be819bd262a267f862178d3aece7557d	Bob Blyth
105377	Seamus Heaney
3244618	Danh sách tên bão nhiệt đới
366767	Rose Byrne
fa56426a349fd4f53c29978fe715e86f	Sakanoue no Tamuramaro
964408bda3c29d4bc570beb9fc6470aa	Thanh cung mười ba Hoàng triều
319b3ee09bcc2206054c9fc7e4705d94	Karlsruhe (vùng hành chính)
2ee656ac477b221376fcab704b2de066	Hà Đăng
3381476	Barrow Town F.C.
144889	Danh sách máy bay (A)
541025	617
371839	23 August, Constanța
35822	Bedřich Smetana
48285da601318fda2c69524d447a8659	Bàng Sư Cổ
3264773	Arthur B. McDonald
1078407	Chiến dịch Krym (1944)
263817	Culleredo
5730	Sương
1204237	Cao nguyên Hoàng Thổ
1111d0ea5bbbccd1d9ed717a506a9b7c	Edward Arthur Milne
125958	Birgit Prinz
71058	Indre-et-Loire
140220	Romulus và Remus
74733219ab341705d006f05d99ec68e5	Blues Traveler
530896	887
7f2f59bce8f77802ed22f845a8406c00	Joseph Dalton Hooker
16851472c50c1353dd932192592945cf	2001-06-13
2404594	Chi Giang (thực vật)
1221782	Cao Lãm
87005f01cd9d4ac50e340c3b110d20c8	Archelaus
2b9645dc7a42b738ac9fa5a75117b1c0	LH
172583	Ngawa
37832	Lịch Gregorian
