61726	Phúc Kiến
828514	Acid amin
33488	Nhà Tấn
ead64131dd0c6578fe848645bdd65aac	Lịch Đông La Mã
2226	Nguyễn Công Trứ
511377	Tam Hiệp, Thanh Trì
f1902da503dba697ea36ee25296749e7	Bào (họ)
338582	Mộc Thạnh
531288	676
57722	Rōmaji
1443758	Lưu Thiệu (Lưu Tống)
20652	1 tháng 12
3385952	Anschluss
b39ae2445a0018eb5b3f9e060aad903a	1000 năm Thăng Long - Hà Nội (sách)
6e265aec874323bc0490116042ff33b2	Cyclopaedia
530440	1464
20464	16 tháng 8
529910	1247
392219	1859
7a4454023f71af2c2c605caf802aa0d4	Cung nam
99544	.mo
3251497	Bề mặt
20606	28 tháng 10
57	Hoa Kỳ
3210647	Câu Đinh
01a6604498410d82f4ff65968f9d2e93	A Boy
69299	Cách mạng Tân Hợi
225b88841c5bcd4b7f94763335db314c	Nguyễn Ngạnh
419967	Cung
bd5fdd71328b3ab86edcebcdf2739302	Chu Thiệu Hầu
1cd7cc5730ef0bdeae10d3239fc000a8	Cape Dorset
540992	7
531836	571
8825	Tây Tạng
19482	22 tháng 11
19006	Buôn Ma Thuột
f6e6701cc86f9cda747b654b08c9e864	110 film
237446	Khang (họ)
3615	Tháng giêng
54401	Số
92045	Trần Thuận Tông
564262	Nguyễn Khiêm Ích
27330	Tân Mão
364611	Giáp Bát, Hoàng Mai
531801	538
ab504b68303b412ae6a316c2d59fe48d	Agricultural engineering
530501	1491
528880	1726
567149	Trần Kiện
7626412	Angelo Sodano
87af73396602c9b48c706e72fa9a17ff	Miền Bắc
344159	Chiến tranh Nguyên Mông-Đại Việt lần 3
33743	Hungary
406729	Lịch triều hiến chương loại chí
18758	Chết
7785	Khảo cổ học
65706	Khởi nghĩa Hai Bà Trưng
29886	Ai Cập cổ đại
12896	A Portuguesa
2227589	Cam (họ người)
424009	Lê Văn Linh
cd2f4a9ab8230ef09b42aa5748f278dc	Handle System
52876	Nguyễn Dực Tông
32349	Tp. Hồ Chí Minh
236608	Bành (họ)
388182	1842
df610f08f116ad589dd85eaf3625c6e4	Chu Sùng
1665	Khí tượng học
83689	Mã bưu chính Việt Nam
2431773	.香港
528455	1703
2260442	Alfred Werner
f0aef5c43de24df68daedfc192dde4e3	Abel Aubert Dupetit Thouars
666041	Giáo dục khoa cử Đại Việt thời Lý
e3674778e46db10be1adeac256384a5b	Chiến Thắng (đường Hà Nội)
559293	Nguyễn Quán Nho
3525542	Chiến dịch Tĩnh Nan
530505	1495
26741	Giao Chỉ
2261026	ISSN
20439	3 tháng 8
702e9fa9127c3dfe3e782a137e2fd51c	Bùi Mộ
528924	1758
dbfdb886c191a75af49fa096d0bc4fe0	Battsengel
263716	1877
3523606	Thiên hoàng Go-Ichijō
3107	Bức xạ điện từ
b3724908b43adf07e6b30b145f2d9fe0	Phu nhân Đặng thị
85532	Thi Hương
406682	Biên Giang
540767	184
46863	Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh
330680	Bộ Binh (bộ)
27296	Giáp Tý
126644	Quảng trường Cách mạng tháng Tám
16162	Hệ sinh thái
48c2de498526a7bb925620b14b66f4db	Lịch Myanma truyền thống
530559	972
402386	Múa
7c22feba39e23d5fe987f7391e46f276	"Áo tứ thân"
1243718	Đông Ngàn
540762	188
809668	An Lục
187811	1894
187432	1896
375119	Bệnh viện Nam Thăng Long
3496	Tháng mười
39	Thành phố Hồ Chí Minh
772060	Bang
2431894	Bàu Bàng
41080	Phan Huy Ích
529952	1287
803e940524142b5959e9361e2cfc4531	Gottfried von Strassburg
183323	Bánh tét
93746	Nguyễn Thị Duệ
1764735	Hậu Lương Mạt Đế
104927	.hu
6168	Nhà Trần
118770	Creative Commons
1159186	Người Even
3395744	Lý Túy Quang
541106	7 TCN
225213	An Cát
530686	936
7215	Thái Bình Dương
416902	Alexander Dubček
b19c6598aff0a771f0c7c731678e5dee	Góc bẹt
512451	Hoằng Quỳ
62892e20599b212db30f41fecef9d39c	Hàm Long
530277	1008
3689159	Lệ Thiên Anh hoàng hậu
aca360a6c5b28b481aedb644ce87d1ee	Bằng danh dự
46572	Nguyễn Đổng Chi
b00afe0dae71607aba5111a6ef485b9f	Lịch đại danh thần ngôn hành lục
189207	Trùng Quang đế
1250145	Liên Hiệp, Hưng Hà
52992	Alexandros Đại đế
2419889	479 TCN
578408	1040
372418	Đường Cao Tổ
531274	690
72544	Trần Ích Tắc
2477	2004
821874	Bulgan (tỉnh)
102345	Abel Tasman
187153	1897
3423727	Dự án đường trục phía nam Hà Nội
8fddf9d8743cb9bb65944fb100d32bb2	Jōgen (thời kỳ Kamakura)
1439308	Abbey Road Studios
3694925	Chủ tịch nước Việt Nam
12467	Đại Tây Dương
392126	1813
101631	Phú Bình
6792	Lý Nam Đế
420615	Pháp luật Việt Nam thời Lý
392161	1829
3513366	Heo Gyun
18349	Carl Friedrich Gauss
3306320	Elsevier
529973	1305
12041721	Bắc Tề Ấu Chủ
1764134	Thủ công nghiệp Việt Nam thời Lý
540912	38
f17b851f3cd4c36f7e88d5a220419a63	Bùi Duy Nhâm
201755	1772
3194843	Cervus porcinus
19204	Hangul
530977	1380
1c02480bf38a030064edc224824d6b99	Augustus Quirinus Rivinus
5910ec8c64133dafc8f790021f5b812a	Angen
819576	Thái Phương
187103	Lê Ngọc Hân
2412e5aea879ef912e9456b7b22b4c51	Lịch Dân Quốc
200733	Bình Dư
3139490	Cán Việt
00991a14dfd2bdf1b381fa59b6758669	Mã Anh
012e5047bb17fbc1490d314e1f7d172e	Akiba-kei
667aeff76e0111460cdabfe57fa6116f	Arayik Harutyunyan
3674762	Axít
523796	1787
40109	Anpơ
374962	Sợi bông
1000933	Lưu Thông
23effb73617c314447e9df0b0938318f	Michael Scot
414913	Bunei (Ryukyu)
33924	Trần Liễu
96899	Chi Linh miêu
39744	Danh sách quốc gia theo diện tích
f10ebf4c7f3a1ce0dcb1258314153698	Chu Huân
529986	1204
250102	Bạch Thủy
df459b8cd9d20b260f4d74bccc9f9f52	Chính trị Abkhazia
6989	Quân sự nhà Lý
3266180	Ban Chấp hành Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh
341772	Tuệ Trung Thượng Sĩ
530592	904
2c6aafd4b9ee01f92a4699deeb99d53f	Công Dã
107093	1941
488793	Thiên hoàng Daigo
27325	Bính Tuất
0937e9a947a7bbdf9c4bcd5d3e923ebc	Bái nguyệt đình
530306	1022
107821	1913
392200	1850
541521	106 TCN
2129	Người Việt
540983	265
26a15afe8b80881c45acce5d997cd050	Hàn Long Vân
27245	Người Việt Nam (định hướng)
2449bad8e7537505bae4fc6ec21f0733	Môn hạ thị lang kiêm tả bộc xạ
75333	Quân đội
117427	Giản thể
823225	Cervus eldi
5f365abd891ce68dba715d2d6ca3be07	Dendeviin Terbishdagva
53970	Quách Mạt Nhược
7769695	Chôn cất
09cede2196520edbdc08b8398125c4ea	Anandyn Amar
27327	Mậu Tý
74036	Quận Tân Phú
ddc43710d90187110e0355665424d337	Đền Cao
71806	Tháp Báo Thiên
139259	Chuyên chế
778380	Ao
68993	Bengaluru
2a0367cf1e24bf96c5b0dca05bb81f47	Chuyên gia kinh tế
1036067	Độc Lập, Hưng Hà
529886	1223
406336	Chủ tịch Thượng viện Hoa Kỳ
446c2133e98cf4e6884922f53dcf7b8b	Lục Triều
31466	Bộ Chính trị Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
772107	Cuộc vây hãm Ōsaka
20899	Thể loại:Mất 1251
90b1da18140e0acfb24f4e96d18514dd	Henry I của Cyprus
544eca56c9f4ed9c3fbea508b6c39511	Altındağ, Ankara
529605	1524
69590	Đình Bảng
91251	Vũ Thư
1244532	Hòa Thọ Tây
96223512b541fa575192174b91712c73	Bun'ei
530055	1169
6719	Afghanistan
197432	Chuỗi thức ăn
12645	Mét vuông
c8a2808f43629e8f17c957c67aaf9555	Antoine Meillet
20887	Thể loại:Mất 1245
9046facaea77b557e38202524fff72f8	Hồ Yên Sở
332324	1862
41729	Dục Đức
81307	Banda Aceh
1242791	Bình Sơn, Phú Riềng
3273364	Cao Thao Thao
77553831a531c1c72ddd38b1b579ca1e	Otto IV, Hoàng đế La Mã Thần thánh
1244144	Hà Dương
3389838	Henry III của Anh
866432	Bạch tạng
69754	Bảo tàng Lịch sử Quân sự Việt Nam
529237	1625
540925	30
529769	1344
515774	Hữu đại thần (Nhật Bản)
4c8213c9f9aa0e87b60695de1431b218	Chấn Bảo hoàng hậu
6040	Báo gấm
1289562	(50000) Quaoar
54ac8c3d37af9dc9df62ee7f9c22aaad	509 TCN
3397	Sông Dương Tử
108131	.pt
3201731	Bạch thoại
540959	250
436894	Giáo dục và khoa cử thời Trần
5234	Tiếng Hán
529899	1237
285392	Lịch Armenia
3243351	Anh thuộc La Mã
86716	Bãi biển Bắc Mỹ An
82547	Hàn Thuyên
418566	Thủ đô
1e5f74d47d7ea17f965150c1d3c99a26	Di tích lịch sử văn hóa
2433753	Bắc Từ Liêm
6789	Dao động
37a92829e426f3507f11660423ea393d	Bảo Ninh hầu
361569	Khâm Châu
71410a9aa4fd43f72ec7255f3cfa95f5	Cây vẹt
530012	1191
488fa3baeafc1788ecee563e0e0a0d4b	Ngũ Hiệp (đường Hà Nội)
d31ce9b2b18f11d7925e73f289aa6a93	An ninh nhân sự
234915	Lê Hiển Tông
529552	1597
674e5f9d7bd04199bef04fccdb971385	Bồi lắng
1683505	Addax
f75d20c53599302eb993ba76567598ee	770 TCN
388013	1841
579290	Giáo dục khoa cử Việt Nam thời Lý
11194	Cà Mau
250074	1803
82576	Chu Chiêm Cơ
31490	.bn
3687193	1800 (số điện thoại)
41141	Phan Huy Chú
24119	Chu kỳ giao hội
ab9048248965038b5f0f835e554afa61	Quốc lịch Ấn Độ
529893	1231
1683465	Aepyceros
29972	Hồ Trúc Bạch
39580	Bangladesh
528929	1763
d6240d7462d5365d047297b4dbe6ac4e	Chủ nghĩa Phê bình bản địa
252913	Duyên Hà, Đồng Nhân
44139	Thái uý
443890	Bảo tàng
7457508	Dị dưỡng
2364419	230 TCN
ae2be1da083a5d24d9d8cae0e035d3bc	Phác Chỉ Nguyên
530139	1101
658771	Cát Thành, Trực Ninh
4666	Hưng Yên
530560	971
531344	602
45982	Lý Thừa Vãn
63975	1977
2a32de3bd0c11a945eb55ebb3df65ab8	Addi Alkhas
107041	Bách Sắc
421504	Khu bảo tồn thiên nhiên Tiền Hải
de98ac554183fc735ae9d58031ab39e9	Dịch kinh phu thuyết
528892	1733
32165	Biên Hòa
273996	Nhà thờ Hàm Long
49298	Dương Quảng Hàm
84492	Hàm Tử
476728	Ái Châu
823278	Damdin Sükhbaatar
578377	Thập niên 1240
107897	1927
551a0ac7acf45cace98b59ad380b5066	Al Bateen
20116	28 tháng 1
528698	1711
1610138	Sở Văn vương
7763	Mặt trận Dân tộc Giải phóng miền Nam Việt Nam
528915	1750
69725a9df78bb325412fc7c21f7d83cb	Thuần phục
772059	Phạm Sư Mạnh
3216284	Lý Công Bình
3636043	Cryonics
3672840	Nguyễn Văn Huân
5331	Chữ Hán
125216	Tên người Việt Nam
2222016	Kinh tế Việt Nam thời Lý
38767	Bosna và Hercegovina
2431771	.мон
4563	Di sản thế giới
914	26 tháng 3
387147	Friedrich II của đế quốc La Mã Thần thánh
121316	Đông Hưng
49882	Thành phố trực thuộc Trung ương (Việt Nam)
530125	1125
93b77da7886438c2f722ebdda7842df2	Nhà xuất bản Thanh Niên
56886	Alexander Đại đế
bfe6a803a503bf9a048ffdf40accd6d5	Bencouli
5dbe994e4386377be99ec7760c0ced62	Bìa cứng
107895	1924
2d7253f46b6b5579f48661a16def47b6	Bùi Nhân
e2476ba6f2657887151e677faf83c672	Abdul Majid Hassan
84980	Hồ Hán Thương
63996	1976
37612	Chợ Âm Dương
35f340d6c5b94d0ddacf4f7bcd143f1f	Champasak (thị trấn
34100	Châu Lý
9cf73c3a71180dfad49005b64fc50abd	Bhavapura
187684	1895
541370	35 TCN
3227346	Big Bang (ban nhạc Hàn Quốc)
2488653	Chu Thử
db02a1e21ce2a9b20bea149f87c61a37	Angeln
365543	Bãi biển Sầm Sơn
39e622cbc45660b05fa60705dd460d35	10th edition of Systema Naturae
242442	Kinh đô
237411	Bạch (họ)
236506	Hà (họ)
530982	1382
530367	1407
4271	Ngữ hệ Tai-Kadai
530127	1127
540760	190
894072	Nguyễn Quang Thuận
2262435	Kiểm soát tính nhất quán
644435	Chủ tịch Quốc hội Việt Nam
91371	Doãn (họ)
543545	Hồng Châu, Đông Hưng
83ba808d23f6724418ac87bd3e9c58cd	Cầm Lạn
2421046	Nam Đường Hậu Chủ
ee761b073efbc77ccb366226bc9b4b0a	Bánh (ẩm thực)
2f4e204b8497c4ddbdeb208275a1b2dd	Alasdair Milne
1244775	Hưng Hà (thị trấn)
811940	Aparecida de Goiânia
101496	Sóc Sơn
540988	269
6140	Khổng Tử
20369	30 tháng 6
507700	Hòa An (định hướng)
bdde2eff9f663f906df234b20473f6c8	Adult Swim
3347501	2027
bd7ed75ab1901ff27a19da43314dbac4	744 TCN
2364431	271 TCN
477733	Masaki Aiba
780859	Bát Kỳ
530699	950
244622	Yên Sở
189398	Bengkulu
53817	Biểu trưng
03fc2c6a25a552ab2b084eacf8fe55d2	Alexey Nikolayevich Kosygin
41279	Tự Đức
42059	Lê Tương Dực
395819	Hòa Thạnh, Tân Phú
78176	Quân sự
315642	Cộng hòa Artsakh
541632	188 TCN
63723	1984
30680	Mã Viện
40893	Đường Lâm (làng cổ)
505855	Thị trấn
106221	.mn
2816	Tam Quốc
530057	1167
894	Tháng ba
10790	DOI
3250048	Dặc Khiêm
20373	1 tháng 7
20676	12 tháng 12
263685	1890
530988	1388
530089	1133
2529872	Diêu Sùng
38039	Brunei
27328	Kỷ Sửu
268892	Mộc Hoa Lê
499402	Hành trình vào tâm Trái đất
540507	314
2218477	Chu Bột
503e2c629fd111e6a686d10a9fdf813a	Quảng Từ cung
3142	Alaska
43897	Chính trị
3245604	Ban Bảo vệ và chăm sóc sức khỏe cán bộ Thành ủy Hà Nội
530431	1457
529983	1201
1251712	Phúc Khánh, Hưng Hà
c40f3c61b2f00e7643bf07b11b5394cd	Lưu Thư Ngạn
45a5350a41d766c4cb4c392ecb8d42fe	Cung nội thính
529194	1554
529380	1697
307267	Bão băng
798488	Bếp
5204	Bánh chưng
10732	Thái Nguyên
1519579	Chương Dương
fef3e472fb2904cf3ebf928da5b0fb3f	11 Parthenope
109454	Mạc Hiến Tông
83941	Vườn bách thảo Hà Nội
258487	Bắc Ngụy
9349b5a1600a2ca099a2d2b4641b36a5	Biện hoàng hậu (Tào Hoán)
2360473	Hầu
1744981	Ngụy Nhiễm
937e0ce9d288d17b79a33342976a8507	Bà Tốc lộ
530038	1179
530314	1030
974	12 tháng 4
151108	Lê Anh Tông
196365	Bỏ phiếu
103771	.dz
3142688	Cung điện Phiên Ngung
139350	Người Thái
529992	1210
234242	Abkhazia
13cf0d834f9b96d8d7181a07b06232af	Bayangol
22050	Hồng Kông
529760	1339
55730	Từ điển bách khoa Việt Nam
4a3722079decc42274e8a48683579ec9	Ballpoint pen knife
3719	Công giáo
4850	1 tháng 4
1243487	Diễn Bích
328234	Digital object identifier
8af8dbfc91aee9dbc4fbab75a49d177e	An Nhuệ
967	10 tháng 4
20214	14 tháng 3
12296137	Chiến tranh Ba mươi Năm
20556	2 tháng 10
eaed206bc1b74e8cc98a401693f4f7f3	Làng Phù Đổng
112661	Lục Tốn
64420	Phùng Hưng
94c9247f17b87b0d106e9c6f9dee199a	Bà cô
530039	1178
86b8cdfd47af54b379efcbd62be0eee6	Chính trị Ai Cập
3275501	Các ngày lễ tết Do Thái Giáo 2000–2050
530013	1190
530000	1218
d38b1319c156be9d9e346352c1066daa	Hoàng đế Frederick II.
66607eb88f2e12e1408d343564d593db	Thánh Từ hoàng hậu
34ebe5fe66333de4676d28c66ce27e15	Đình Tàu
404281	Bộ Ngoại giao Hoa Kỳ
531817	549
4069	Duyên hải Nam Trung Bộ
97c6b22059e60754a3f2091813b0918a	"Thóc không thiếu một cân, quân không thiếu một người"
529972	1303
3217716	Bò tót Đông Dương
1260442	Bảo Ninh, Đồng Hới
20344	19 tháng 6
909b4698781e7bcda8547b9325e6bcd8	Fujiwara no Kitsushi
5405	Người Hoa hải ngoại
5fa249a968f6ef6832a35423b1f5326d	''Kinh tế và Đô thị''
529188	1548
150390	Bến Lức
52a1cc8700185fa22621202d40d5dd37	1021 TCN
540717	234
201333	1870
107622	Kim sử
32718	Khoa học thư viện
43991	Nhà Bắc Tống
52157	Mùa đông
a378ebfe8ab9109767a485691d4094d3	Bae Jong-ok
1332980	Gia Từ hoàng hậu
1250579	Minh Tân, Hưng Hà
6ee16b7d5e53c4772f918d42cd57e6ba	2598 TCN
11504413	Nam Phương (hoàng hậu)
1242320	An Vĩ
1439671	Bắc Ngụy Hiếu Văn Đế
36c58e391af72287c986c69a36b4fe45	Trần An Hạ
3210375	Cambridge University Press
186616	Sesshō và Kampaku
10745	Người Dao
528883	1728
15619	Biển Nhật Bản
3375470	Bút hiệu
243567	Bàng (họ)
d1eca4c396b89708d037790dfce2223f	2246 TCN
35278	Bãi biển Cửa Lò
7449580	Bảng chữ cái Latinh
41f5921cf76e2ef185eaa4df7c67e4a7	Phan Trọng Tuệ (đường Hà Nội)
f39ef16a90618f2776c368f327745963	Châu Tây Nông
20554	1 tháng 10
ed05efc341dd3c07e254e1ac7c8480c4	Baabar
86534	Bê tông
