df69b432145cf003be7cce77cafd4d22	Phong cảnh
3231666	Hoàng hậu nhà Đinh
43066	Kentucky
c34dfbbef6559368b4ef178b6866c3bf	Biên giới của đế quốc La Mã
32e05048fe490c3f19a6dd2d72716b59	Jasagh
79f08bb7eac405be6c895c03d2c87598	Từ phú
d6bd1b587bb14d31814bb7bda8eb8c7f	Conflent
1748727	Chùa Nam Nhã
1243507	Diễn Hồng
e17f9332a1143f982172e09cc543918f	Khắc nổi
1094551	Chiến thắng
6df46a47f9b9e1fd977824b6f04bb09a	Thể loại:Kiến trúc thập kỷ 1670
1254081	Vệ An
1254757	Qumran
3155515	Andrea del Verrocchio
f60ce38c79cfdcfd29fc6f21fbbcf3a6	Abu Zikry
f2915e5fe8322b93e6f5a18011af74c2	Friedrich Ferdinand von Beust
529349	1684
54a3345d8abc52f2165e4d5c96d436e5	Hài hòa nguyên âm
99024	Thanh Trì
55563	Đàng Trong
6752f22dcf9cf25d5b3df83b1e7ca1c0	Aydinoglu
b56bd1620787d7ff8a7a7898ef0ab6fa	Liên nhục tẩm
a4ea36c15a248dfa01161e6663353afd	Hàn Hoảng
106481	Bùi Quang Chiêu
16acae038ba1f6a76c61d97f316a8566	Lịch sử ngựa ở Nam Á
3172128	Ernst Mayr
3525516	Thiên hoàng Antoku
574438	Delta, Colorado
140232	Friedrich II của Phổ
8e0e1d001d165d263993676fbe2bdd0a	Mohammad-Javad Bahonar
43656	Hà Huy Khoái
517362	Cuộc nổi dậy Phan Bá Vành
696bcaf129cacf32c3ccd9983b32b184	Dãy núi Tehachapi
23924	Boron
86503d90d3fcbbca204049541490f9c0	Eduard Haken
54835	Andrei Sakharov
3409364	John Dryden
146972	Trận Appomattox Court House
306718	Carrefour
53470	Hạ Môn
f5446a9f57376a4ebecd8ecb2dd2b45c	Cận cực
3319	Danh sách ngôn ngữ theo tổng số người sử dụng
d2379742190e06019d9e40a4f764e55c	Joan Copeland
810658	Chelsea, Luân Đôn
53754	Thể loại:Mất thập kỷ 1680
581253	Duy vật biện chứng
2a3a2fa9d775bd80ea07b2176d3ab2c1	Anii
101579	Hiệp hội Vận tải Hàng không Quốc tế
814966	Pomigliano d'Arco
18599	Mùa xuân
261104	Filottrano
20478	24 tháng 8
575797	Dayton, Ohio
34100	Châu Lý
89649	1963
24295	Mao Trạch Đông
b86add803b227b9a9ed93e687fb77ec0	Henri Durant
1262495	Cuộc vây hãm Praha
333990	Mùa Xuân
e6e8a33b15aa88eff1f2ef25c50f5419	Bio Bio
79951	Jazz
16238	Giải Nobel Văn học
24618	Cực
455526	Giáo hoàng Piô II
1250024	Lại Thượng
209737	Chùa Giác Hải
172830	Cá Cựu
7010	Nam tiến
124057	Anna Karenina
e43315b0bb8ff0d86ddc71efb64cdd60	Bompietro
80324	Thời kỳ Khai sáng
4a6cb0fc36cc420424ce7d3e28e6fda6	Cảng Nghệ An
808925	Bat Yam
3253856	Báo đốm Nam Mỹ thế Pleistocen
1264011	Cromit
03aabf1d0fd0e8adc8ed8ad0dd98d216	Information architecture
2429955	Hóa chất
939b2f41e43219bf6f2ab876161180b6	Horary astrology
10772	Người La Chí
1365915b8fd23aad9c61d2deae8404af	Bach Djerrah
42335cc8f256a224ec007a277508f03c	Cấp bậc thời gian
187411	Amapá
3521087	Lãnh tụ Tối cao Iran
20431	30 tháng 7
f895a93d53e0faf58f93f632ff830750	Choral Public Domain Library
433963	Quốc kỳ Pháp
8b1a6abe3d6720e046304f2be401e169	Đại Ba Sơn
69901d6fd0966f14e148691820c77571	Công nghiệp sản xuất vật liệu xây dựng
d99b0b8ad5a4710f9d93a85e20e16523	Thể loại:Phá hủy thập kỷ 20
781034	Bùi Công Trừng
1763522	Thái hoàng thái hậu
243397	Amman
12500	Bản đồ học
1252921	Thạch Lưu
ba248ea801f417c076ea132375d834a6	Montessu
2541217	Manon Lescaut
ec6a51e96ca8380b8309070f5bc6b43b	Cambridge Guide to English Usage
b799a9c1cb1b44851fd5708af14bbb9f	Hành khiển
2339736	Tiếng phổ thông Trung Quốc
109152	Concord, New Hampshire
51d25ca81d0f664df8d2341c3fee2622	Chiến dịch Kền kền
183371	Tiểu Á
1735713	Văn học Đàng Ngoài thời Lê trung hưng
291267	Biển Arafura
792348	Pienza
214608	Achaemenes
2365674	Camellia brachygyna
833cb09c10fda18623e185f56370a032	Antisana
532210	389
47528	Thế kỷ 11
490942	Mã INSEE
20294	23 tháng 5
1221063	Phạm Văn Trị
c94bbd76c1449a9ab8c0c82cc8d14804	George Entwistle
441668	Bài thơ sấm trên cây gạo làng Diên Uẩn
6dfa57aeaa37b128e95156d7c12d8275	Cologne (vùng hành chính)
69648	Bảo tàng Cách mạng Việt Nam
ecfe51077bafb869346e76b9f9311608	Nhạc viện Huế
34567	Nhơn Trạch
541677	Bệnh tim
f2f605f7d5868d8b847dbed19c877d25	Cuộc cách mạng
a30a2424dd23ff6f5d25496bf5e4ce48	Bùng nổ tia X
580826	Santa Fe (tỉnh)
92220	Akutagawa Ryūnosuke
4edc0ebcf9288c135464d93141f2df15	Benito Jerónimo Feijóo y Montenegro
fda233f9a53b94d58c3fc630a4705cc2	Białystok-osiedle Sienkiewicza
0965a5f5f3f4b175e6ab7ac6a11695a7	Danh sách các chuyên ngành ngôn ngữ học
3e3ec9ce9e2a75257d1b2b08396c1628	David Mancuso
11525609	Bahraini Premier League
306535	Ferdinand de Lesseps
422104	Argentit
1a6c5868873851d035267052044f0388	La Nhĩ Cương
234909	Hậu Kim
aabd9198c206eb9e9c361c9fd0b3e844	Julien Ries
546166	Phan Thúc Trực
193018	Bình Phòng
3389216	Edward VII của Anh
a5bdfc1636d834e68d185676d6f8cfef	Joo (second)
3b11cb4709f645489000140d9b33b9d8	Thuật toán nhân
2ecc5f5b2d15b0977aa128a270b1f6de	Sân bay Limburg
71587	Auxerre
80024d755463fe967e68353d4f139af7	Khoa thi
3277438	Kim Đấu Phụng
1ab27699c6bdd043d3e82b8e57d098d1	Thể chế chính trị của La Mã cổ đại
1405977	Chả cá Thái Xuyên
106364	Lutheran
814510	OCLC
891	20 tháng 3
525421	Axit bromhydric
92190	Vũ trụ học
df9e769e3cc120f2eb452bf02f36acf0	Cully
1810c10a8554a8c79fed16664455215f	Chính tả tiếng Hà Lan
1f93668a39490ffce94cb34c7c7bd5ec	Chung kết cúp bóng đá châu Á 1992
8eeef4cacb3b069d167f18ef4e56065d	Hamish M. Scott
aca59c8515bfe2e1920bf86fc04018c4	Màu quang phổ
a3c7ac186e2b8ac058e7d29793fb8182	Argyll and Bute
3682492	Trung học phổ thông
0686e2881b2491d4363cf19084dacb2a	Barron's Educational Series
1ffc14bb056d313b9d74504341a5d91f	Charles Schumer
d8ed32f7f0b4a127b850d608651f5d9e	Chữ số Burmese
577397	La Pampa (tỉnh)
241490	Tên người Nhật
529256	1640
44122c19b80194d38584cd9cd345c2c9	Alexndros II của Ipiros
2218584	Amish
349489ac70aa0e3bd1cafaf6741d9483	Chung kết FIFA Club World Cup 2015
61789	Bồ Đề (Quảng Ngãi)
39737	Võ thuật
1243423	Dân Chủ, Hưng Hà
39837	Sông Trà Lý
9773c49ee520627b8079de6faa446552	Di sản thế giới tại Ba Lan
60346e0847129484bd6d534e47252d4b	Thể loại:Phá hủy thập kỷ 1070
3410056	Amenemhet VI
d0b71086cc296a00973ea7ab15b7ddb5	BBC Việt ngữ
238388	Carlo Ancelotti
87e90c30bcaace1e74a3b0bef9852995	Thơ phú
9ee49f3c1c4657e85b19c0539eaec791	Bedford, Indiana
810451	Bow, Luân Đôn
107821	1913
5ddf08067ed202d520b1421b922a8553	Giờ xanh
d4a0c3c92adc6795a3303592257cf1c0	Sinh thống kê
570940	Breslau
c19ee1cef315372c9bd104c5bee2b41c	Horse harness
530771	Diên Phước
17601	1 tháng 6
43082	Trịnh Hoài Đức
529305	1654
313600	Bethlehem
489611	Bộ trưởng Chiến tranh Hoa Kỳ
7d739c5c8805fcd7c828be33a2c9ae37	Fravashi
1329971	Hoàng hậu Minh Thành
0ac9c54ff658720a237f03c05de65845	Núi Garganus
546527	Bức tường Dân chủ
905feac504c36304d04f4b6d8bc0ab55	From Hell to Paradise (book)
783622	Chihuahua (chó)
24886	Công
778149	Bellentre
7ff4238a80bf5d4f976a2efa80efbe72	Emetullah Sultana
11350	Thị xã (Việt Nam)
c0ebc1c735e63bdbfe1cceaf9bb472d7	Jon Manchip White
4a8a69d3949dc3a6da2403e556a336e1	University of Groningen
822350	Chiến tranh Pháp và người Da đỏ
70197	Heidelberg
e2b6c7db20c6a3c560bf67c6f9e7cd9c	Evgenii Miller
11290744	Ký sinh trùng học
3565555	Quân đội Canada
578386	Thập niên 1160
437317	Kim Thành, Kim Môn
527233	Thể loại:Mất thập kỷ 30 TCN
189585	Hoàng Lăng
9256bf690925ea6f0b315198398ee299	Chewing gum
76703	Anh (định hướng)
578390	Thập niên 1120
530905	895
2fb2c59523f4e9adc1884c0c8bbdfcbf	Native schools
1740726	Soricidae
5d8a6246ad047e03ab09efa7c90fb5a2	A Nam Đạt
0d9e92b2b00cc744fa01c914fbcc52db	Basalt fiber
3426991	Nghệ thuật Trình diễn
cccc2a40efcce1eb879b665db720974b	Hồ Hải Long
820488	Dearborn, Michigan
35758	Chủ nghĩa bài Do Thái
404661	Diekholzen
40297	Bờ Tây
404511	Giesen
41928	Học viện Kỹ thuật Quân sự
2260197	Henri Moissan
43118	Lý Đạo Tái
1ebd8d5d87f828b0752929874baafa12	Alexander Pope
1678357	Anthony Quinn
6605	Chu kỳ Milankovitch
9efdc8a83fc17d0f955b1cc7977b1fd1	Asteroid impact avoidance
2efe666888d2fc163535096be2d0e131	Andres de Santa Cruz
130873	Bí thư Thành ủy
f91b86b23e4b680ab796ba84ba00d2b3	Năm học
36771	Sông
444514	Giáo hoàng Alexanđê I
2769364	Grant, Quận Cerro Gordo, Iowa
364061	Chiến dịch Bắc Kỳ
c8f46f4e496a61ebab3e957f1525d2d4	AOR
83398	Hoài Nhơn
415123	Diedorf, Wartburg
3278	Giêsu
362d95dbb22f950e1e6a4015cbc5c1b5	1 euro
847	New Brunswick
2cb6c5f4e2dde96b4d494e6e08250dde	Jämshög
4afae0d8bbc556e30bdaab67f21e99e9	Công viên Washington
990	Ngô Đình Diệm
d6a87967582b01c2867386785f7fd2e0	Chimalpahin
2452691	Bóng đá tại Đại hội Thể thao châu Á 1974
d8bf1df8b90044c3c4bd465b5cdec423	Benjamin Franklin Butler (lawyer)
5eb809dfa35754ad0c71f59b627af348	Agal
43642	Shakespeare
295946	Chủ nghĩa duy lý
fd46bbc3c5ec0bc8f6b071e8581ac381	Aymara
576996	Công ước Quốc tế về các Quyền Dân sự và Chính trị
3277818	Antonio Pigafetta
972566	Trường Trung học phổ thông chuyên Lê Quý Đôn, Khánh Hòa
eedeed85366cf57e4701185f24b7ab32	Thập niên 1010 TCN
571532	Asakura, Fukuoka
119408	Romain Rolland
354609	Royal Dutch Shell
1eb80544c03d6aef3b3032b5bdcc64dc	Dziesięciny I
1279739	Thập niên 0
127996	Cercle Brugge K.S.V.
119286	Harry Martinson
3471850	Cai cơ
4fbc495be5f9b8a3d8b7f0824468a4ec	Chung kết FIFA Club World Cup 2016
7d59bdf659b3ce5ec76c83876e9a3dc2	Jean-Baptiste Camille Corot
63062	Battambang
172812	Nộ Giang
818d923929e315fbd598a13ec8c1c580	Hiệp hội ngôn ngữ Thổ Nhĩ Kỳ
d050f91a87dea509ad4be1dd3edd0d1a	Đầy tớ
98651	Cộng đồng các quốc gia độc lập
237524	Louis XVI của Pháp
1751121	Raetia
a1abcf3598a11e70d28fa8fdb1ec93cd	Ai Cập thuộc Sassanid
580824	San Luis (tỉnh)
787560	Calvanico
787976	Châu thổ sông Mississippi
34172	Arizona
20248	28 tháng 4
368653	Bùi Quốc Huy
3119931	Bắc Thái Bình Dương
418995	BMP-1
e1c1300cabce6c76d043e4add07ac7e2	Anushavan Danielyan
24478	Chính phủ
24428	Hốt Tất Liệt
cd6c0017018587105d09e3d97e01da71	Boron nitride
265519	Ambivere
36324c524c239d948203325453ab8f22	Thể loại:Kiến trúc thập kỷ 1680
3268376	Andrew Lloyd Webber
841438da6a8fd964f3b074a2162332bb	Mặt trận Kavkaz
578347	Thập niên 1410
e52b4ffe34c8d045cdd22f0d817835ff	Chính phủ Kuwait
6eeb8acc0b0a9a8f94f221e65279d6e2	C. S. Peirce
529182	1544
825008	Bóng đá bãi biển
3effd6a66c5799b85aad198be6d16b5a	Hiệp ước Hữu nghị và Thương mại (Mỹ-Pháp)
7ec2fa786c3492a07a2f902c5646fe01	County Donegal
6a0d2625cb1e0caaaacb0184b6f85156	Chiến dịch Overlord
61983b03ae137d3403723d098fd322f2	Abdul Hameed Nayyar
3210662	Cận lớp Thú thật sự
1253634	Trà Nóc (phường)
ab48395e9d62a806519ff46df3328e77	(174567) 2003 MW12
334606	Giao hưởng số 6 (Beethoven)
94133322f5885b463053353d2e81caae	Elements of the Philosophy of Right
b274bae8845bc67261d06c8972bf14ad	Hăng (vị giác)
530359	1400
2460851	Colt SAA
cca6fb60f3d769f0c7579948d0fa6e25	Electional astrology
6962a75528a59215a143f627b314c9d6	Các quyền phúc lợi
bdfbebebbc78e09583daac1a99a28f11	Cape Ann
1316317	Charouine
8708335d60420cea56cf29ad94c2e1c2	Các dân tộc Myanma
12388897	Châu thổ sông Nile
53756	Thể loại:Mất thập kỷ 1690
0cc7c39a525ee551f935ded3840a1d27	Hệ tọa độ trắc địa
6187914038b0d6bd7fa7dc7d1df841b0	Arno Tausch
53635	Thể loại:Mất thập kỷ 1090
119601	Basse-Normandie
258590	Erzurum
7ba6c5b216a182538c9aec6ba9738adc	Atlanta Rollergirls
321601	Lịch sử Myanmar
8d3b10544b2dd48de19cff2bf945ac9d	Johann Encke
188195	Açores
24bc29f54a497e6bd9c12c9f85f09f11	Cơ thể học
2419252	Bắc Kalimantan
abe3d3db143f101f5f850b9b42bb8c75	Ann Powers
b7b8c9a25f0b988883b798a5502b5015	Al Adl
665b017a12c721cdc0c47c8139692b93	Bensen X-25
78219	Danh sách vũ khí trên máy bay
a9676f2d0f1d51ba256340e325dbba1d	Cầu Da
747219	Agusan del Sur
5ffeee48efc5b1f5115f8e16b0d8e735	Cua trong biểu tượng văn hóa
523990	Thập niên 1880
09e9e7d2f9dce9645e03675eb061352f	A Modern Twain Story: The Prince and the Pauper
3367450	Chế Năng
3d7cfc982d063e467ca0cdc5ae14149b	Sách Amốt
be4bc9794b561df4e829c29fe620fe5b	Bắc Canada
3216045	Pliny
369754	Dessel
3637904	Dự án Eden
574561	Chiến khu Đ
f46e8611b558fb5974b0f19101f9ebcb	Behshahr
104686	Tiến sĩ Hội Thánh
1406660	Caria
523794	1794
69b28f0e7520eacf186857975e8d984d	Chính thể chuyên chế khai sáng
108530	Bóng đá tại Đại hội Thể thao Bán đảo Đông Nam Á 1961
87c65f7b568c5146615657896a7aeed2	Luật hình
b4545beed47d548b1385187ff5a4b4b7	Imperator
b3ba9fa21ba21e1a7652eff393c3aa9c	Hiệu kỳ của City of Edinburgh
7f763c17a4563725704bea34f8b11061	Cảnh sát hoàng gia
7ddf4634e0d3f185ba0b3208991ed421	Infinitesimal strain theory
