63096e84897868d4d2c84009096589b3	Arabinoza
5cff843014838822f001284e09936201	HMS Discovery
883798acbe3074e49b09668f4166cfeb	B PFG
3705025	Pyrimidine
104600	Joseph Brodsky
52232	Genova
b2f34ba0d2164ae40dab7d537978164a	Cheonmachong
0d287a0769239364b92148f316d57c24	Danh sách núi
c9772b244cd4cd30ce9f8ef9eb78a1d8	Economist
c12c13c5183fcc02cc8c294d5afce929	Buaytha
469962	Anouk Aimée
1127335	Cao Ly Xương Vương
818604	Hoa Đàn, Chương Hóa
90c48923c1723faf1d07d46df30ea6fb	Equitation
938	Tháng tư
3166853	Hội đồng Liên bang Đức
579a265fe6752975633722127cf49520	Chính phủ Hồng Kông
64195	Đế quốc thực dân Pháp
801122	Carlos Montezuma
1752924	Học viện Chính trị Quân sự
2439413	Frederick Townsend Ward
fe210e898c1eb56559ed48e48b7335b7	Danh sách môn thể thao sử dụng ngựa
33	Thụy Điển
137480	Múi giờ miền Đông (Bắc Mỹ)
265774	Casalfiumanese
f8af6a8846fde9c03de4c22294a073cf	Cấu tạo cyclohexan
20149	12 tháng 2
33c1b811c7a4bea429a4712ea2da6e9f	Lãnh chúa Kumamoto
164664	Diêm Điền, Thái Thụy
313600	Bethlehem
353165	Ballet
1a26b5bae6a82e70c31616f5e22fb47d	Chế độ xã hội chủ nghĩa với đặc trưng Trung Hoa
446797	Giáo hoàng Anastasiô II
660399	Cộng hòa Venezia
2105a5682e6076c76f9ad7748b38eb5c	Chính Hồng kì
308653	Al-Mamun
fc501659c89c4f00322936c09b451307	Phục hưng Bengal
3c621d6f4811150ac935f36a13b78c56	Colorado Plateau
24551	Khái niệm
3139250	Bernardino Rivadavia
32424	Ma Cao
11079264	International Statistical Classification of Diseases and Related Health Problems
3508303	Chiến tranh Ba Tư-Hy Lạp
aa05035b731dadc377bb4bd7b97e7b05	Praemium Imperiale
529949	1285
191349	Kabuki
43150	Châu Giang (sông Trung Quốc)
904f01553170f4e427bd82dae070cf28	Bệnh viện Bellevue
90414	Ngoại giao
1377680	Kim Cương (nghệ sĩ)
3278035	Chiba, Chiba
0a2bff0fd4bbb8e3b6526541eef17b7b	Cơ thể
72663	Màu da
5664	Lịch
26702	Chelsea F.C.
65489	Tiếng Trung Quốc
3353765	2090
8c920fdfa1af2e35eedef48b3c3490a7	Agsu Rayon
20629	9 tháng 11
4c1bffa073d5ec5357346530075e206e	Handan Sultana
13055	Môi trường
e52ea76294b9e1649ebcebdb347688e0	Cucamonga Valley
03b5b7b10f0a24b4e475d25f2c73fb4f	Barnard E. Bee
74746	Quân đội Hoa Kỳ
f2e177c6db0fba18a3315411c6edfa7c	Chỉ số nổ núi lửa
d6497dcc6ad5d7f4d50f6bbc6791bfcd	Bộ trưởng Ngoại giao (Úc)
77a6216658ea899abca9d33ca9770eba	Lịch Ấn Độ giáo
5ea86ec2d86c5a12b2bd12f8e924057f	A Farewell to Arms (1932 film)
42dc814170d05661f313392a6fbea97a	Chung kết FIFA Club World Cup 2006
13883	H5N1
99cdba3e4bd9f4c2c8b88b58a1b2dcb7	Andrea Camilleri
809822	Hoàng Châu
99e53ff0e8ade738c4999ba0b7bcf51e	Angola, Indiana
81435	Vịnh Xuân quyền
3501211	Góc phương vị
1683993	CITES
c37bf62449f71007ce95867d9e3d3cf0	Mùa sương mù
578645	Giao hưởng số 5 (Beethoven)
33168	Nhà Đinh
0d038075b42125a0dfd62410e155fa09	2005-10-26
58161d9105784593a94b77e955842ce3	Môi trường ôn đới hải dương
902e709a5465c2091d9b617d89fe7a7d	José Nicolás de Azara
d9041b4ef73d91264b80f1afd24b0572	Chữ Idu
461383	Auderville
75e5743c6d6ad4bb92a6c3a0ccd26832	Giao điểm quỹ đạo
3309889	Tiếng Triều Tiên
bc18cb39a6203cbfd7cdfff8688e91a7	Barnet i Graven
406729	Lịch triều hiến chương loại chí
84351	Hoàng Văn Thụ
5126a42c8eda454257eddaaab092b06f	Bóng đá tại Thế vận hội trẻ
1405648	Bán đảo Alaska
e8ae3c7cbfbdad54b4e3ddf55dcd26a7	Beno Blachut
20065	2 tháng 1
3556022	Ahmed Ben Bella
1503131	Cẩm Châu
271b6cb96491b051a1aff587b13be959	Siêu trơn
22423	Đại biểu Quốc hội Việt Nam
bbd3fe6e243cee25c350fec4e6da897b	Lịch Darius
71021	Alpes-Maritimes
f18d198f0326b384f54d25cbb96efdd8	Thể loại:Sinh năm 1862
7c11ab01decf3ef2af5fb71453e397c4	Châu thổ sông Po
49681	Mãn Thanh
173016	Lê Kính Tông
3254416	Brunei Super League
2e25c2f785d5d6d2b24213254222b312	Công trình kiến trúc
687e4f3a9c1e5ab90f6e94dc5d3cb90d	Ferdinand I
ca6021d41f5c303ed9ffc9205b9948e3	Lạc Băng
712fbf0cb0a408f0f3089dbdd2b7ff5b	Amr ibn al-As
3167062	Chuyển giao công nghệ
1243506	Diễn Hoàng
529335	1674
115246	Walt Whitman
821778	Gaeta
104479	Delhi
107945	1961
1de2edbaa430975d339565684aeb0692	Ramón Freire
107949	1966
2416766	Chó săn
184495	Hưng An
ed9003f74b71174c34908c16f67813b2	Aphrodite Terra
531907	454
f87457610293edbd8660be012adbd463	Khoảng cách toàn vòng tròn
293602331613e08bb3c862560e37ecb5	Chung kết FIFA Club World Cup 2007
183779	James I của Anh
107093	1941
e2b53e1a9fbb7a8a3e6a198fb244db22	Chợ Lục
572748	Columbia, Missouri
20454	10 tháng 8
68290	Napoli
2fdb1166193cb63452ec8ea6cc4babee	Tiểu hành tinh Vulcan
ba699083e550fa1934bdede5ff6242cf	Lê Hoàng (chính khách)
f1cdae0a38171ab516f13cae29fe9b53	Chữ 'Phags-pa
27216	Bà Triệu
1250376	Long Xuyên, Bình Giang
2444465	G.W.F. Hegel
83623	Dili
20224	18 tháng 3
b6d8256e20096c7d61b42012889ecfc4	Port Said (tỉnh)
6129a6a157741a6c634f4eabf2a7a40b	Jan Huyghen van Linschoten
571737	Charleston, Tây Virginia
3391960	Hệ phái Shia
4a741b24f1a1a2ed0f43462a52d7d7b9	Irrfan Khan
106170	Phú Vang
500426	Amazonas (tỉnh)
6ba8b698879015c1eb7b5dc0e785e6af	Craigavon
528389	1707
60634	Hexan
a4d507c39c1e9ad21b7ab6ad9ae99d52	Công quốc Brunswick
199676	Abbas I của Ba Tư
20667	8 tháng 12
1680480	Sách Giảng Viên
7757aca2fbeaa546b797fa4d8f1e600f	Campuchea
893433	Chiến dịch tấn công Gorlice–Tarnów
57704	2007
129093	Số La Mã
5aabab17a982038f15f5f0e1792baaa8	Mũi Colony
231584	August Krogh
1599648	Lẽ Thông Thường
3165970	Colchis
ebcc42b37e9aff31793d6899591a4e74	A Cổ
231810	1830
529863	1521
107919	1933
530145	1097
26800	Mũi Hảo Vọng
1250291	Long Hải, Long Điền
09be5a48e3342237370a05d5634aabf2	Coahuila y Texas
40be7279ad1007be45a287050529a5f3	Thể loại:Mất năm 1772
811167	Bãi ngầm James
3707203	Bóng chuyền tại Thế vận hội Mùa hè 2016 - Nữ
5c6fbfc856a4dd75cd134b640868d12e	Danh cách
f1effe3b51d392841b0b04f4ae32e3f7	Bài giảng đạo Vĩnh biệt
20189	2 tháng 3
d43c9b605522c8000d73ea4f988862a9	Ban Chỉ đạo Trung ương về chương trình mục tiêu Quốc gia xây dựng nông thôn mới (Việt Nam)
928cfc69132efc23cae34ab149d13839	Bá tước Karl-Wilhelm Finck von Finckenstein
64025	Đế quốc Nga
529176	1541
7461469	Điều trị
beb716915cfd8c083564179031d32fe4	Charles Hutton
228852	Hoàng đế Pháp
136921	Chiến tranh hạt nhân
d5083e5e9cfd21d37ac505ec178bcca9	Achaemenes (satrap)
153a8a1daf4f2fe0262136cd54fe1495	Danh sách các boroughs ở Pennsylvania
799dded2ee7d99894a2a517d8a9ad30c	Lịch Bengal
7a94da00671055d47799cf8e96d46ce3	Trường Marischal
1478268	Almada
863cca4f04529c1d0b244c036067e7a3	Boston Common
250787	Biển Bali
eaa32cda1f0b89192adfbb72565db3c9	Biểu diễn
213772	Giao Khẩu
4708efff4b45cfed6d698c418609d264	Annibale Padovano
a94da9b3b5f1e76cf62d58264b1c7c0d	Thể loại:Kiến trúc thập kỷ 1630
c6ab099c891e138aa52cda3fdfab5243	Alexander H. Rice
213080	Darius III
7cbff88dd6c5d63c88ebbbbd971ad3c5	Thể loại:Thành lập thập kỷ 150 TCN
529202	1561
3230012	Cao hổ cốt
20548	28 tháng 9
23651	Gia phả
94f573024963b0cf0897be0fcffa2d2a	Lịch Ethiopia
f536ab8a1362d65efad50040ee99a27e	Giải thưởng Balzan
105026d9cc705099a822d32c8c300cea	Lịch sử những cuộc chiến tranh Nga-Thổ Nhĩ Kỳ
abad2520fea8479191783b3a751e383b	Hội Hoàng Gia Anh
97cfb0edd25626217eb4d740cebd7d7c	Albert Einstein trong văn hóa đại chúng
63327	1994
511391	Christoph Willibald Gluck
9bffed9c1d1ce2ffb94f0caac470016c	Thế kỷ 2 TCN4
1670493	Chuột nhà châu Á
1521f5120bc38889e463c79d775d8a70	Làng Láng
798259	Lâm Sảng Văn
4fd8da6b09cc074416bf7ced2e243a73	Danh sách Chủ tịch Hạ viện Hoa Kỳ
23faae78b25c6dd55b5bfbed12de48be	Cháo tôm hùm Bình Ba
16606	Trần Trọng Kim
75ad58606afac81ef7bf7da23e307f98	Diễn đàn Liên bang
8ee6f2cf70f399b82eb7c3f7824cf5d0	Quan sát Mặt Trăng
e93195db7cc86ef17888b1821e05b390	Dziesięciny II
405280	Choulex
20234	6 tháng 4
3424104	Arthur, Hoàng tử xứ Wales
98943	Mỹ Lệ
43066	Kentucky
c34dfbbef6559368b4ef178b6866c3bf	Biên giới của đế quốc La Mã
194032	Gia tộc Tokugawa
79f08bb7eac405be6c895c03d2c87598	Từ phú
20435	1 tháng 8
1748727	Chùa Nam Nhã
1243507	Diễn Hồng
e17f9332a1143f982172e09cc543918f	Khắc nổi
18759	15 tháng 11
39930	Chất dẻo
5ad5a8345948a345691bc2a380b044ac	Giờ chuẩn Đại Tây Dương
60764	Hướng Tây
799150	Basedth (huyện)
529349	1684
fd39c286ef211c6014a481e16e4e7eb6	Bollhuset
816136	Como
3263761	Athena
55563	Đàng Trong
68096	Lý Thánh Tông
27006	Napoléon Bonaparte
26753	2001
5298	Chúa Nguyễn
106481	Bùi Quang Chiêu
3275596	Loài người
799066	An Phong, Thanh Bình
140232	Friedrich II của Phổ
8e0e1d001d165d263993676fbe2bdd0a	Mohammad-Javad Bahonar
43656	Hà Huy Khoái
117138	Carl von Clausewitz
517200	Kem
86503d90d3fcbbca204049541490f9c0	Eduard Haken
3509795	Chen Ning Yang
529601	1566
3409364	John Dryden
41729	Dục Đức
ae537294a8918bfac706f5a3949e7bd2	Eduard Suess
53470	Hạ Môn
d2379742190e06019d9e40a4f764e55c	Joan Copeland
810658	Chelsea, Luân Đôn
147538	David Hunter
725	2003
3849	Đảng Cộng sản Việt Nam
53633	Thể loại:Mất thập kỷ 1080
529332	1672
20478	24 tháng 8
577410	Misiones (tỉnh)
437e5f643d6b6d1ce0c0f345ae05c6b3	Frederick H. Gillett
89649	1963
24295	Mao Trạch Đông
1262495	Cuộc vây hãm Praha
e6e8a33b15aa88eff1f2ef25c50f5419	Bio Bio
80e7dfcfec6017ccce157e58ebbb876a	Bataille de Leipzig 1813
16238	Giải Nobel Văn học
24618	Cực
455526	Giáo hoàng Piô II
81ae9618ac4ecf6641edf8d613163c27	Bossaball
74212	2010
7010	Nam tiến
124057	Anna Karenina
e43315b0bb8ff0d86ddc71efb64cdd60	Bompietro
80324	Thời kỳ Khai sáng
30010	Hưng Hóa (định hướng)
49354	Leon Trotsky
3469545c9f768b9433fc257d02714866	Natisone
90d52b49bf9eab517a5ceecdece5dc30	Ismaili
abdbc14480b9418c2642e85bdd495832	Compagnie Belge d'Animation
939b2f41e43219bf6f2ab876161180b6	Horary astrology
d82867104a50689d21aa52b2ae69d7f7	Dãy núi Appalaches
1365915b8fd23aad9c61d2deae8404af	Bach Djerrah
81e223604db1a13380f1660be406578c	Thể loại:Sinh năm 1905
187411	Amapá
3521087	Lãnh tụ Tối cao Iran
20431	30 tháng 7
d5bf04a8a8ce58a58e6bbe1c58380e00	Sách Barúc
433963	Quốc kỳ Pháp
185988	Các cuộc chiến tranh của Napoléon
530829	2014
98235d773aada208d90ac2a291a0cd70	Ishtar
27355	Bính Thìn
243397	Amman
12500	Bản đồ học
500855	MediaWiki
2484ae9df46a489ff126dcc9a892c9d5	Dệt may
ba248ea801f417c076ea132375d834a6	Montessu
2541217	Manon Lescaut
1167993	Carlos IV của Tây Ban Nha
2417915	Andronikos II Palaiologos
aeced7b3afa692c82a4418a59e48b68c	Biblis Tholus
60893	Arthur Conan Doyle
3217126	Khâm định Đại Nam hội điển sự lệ
291267	Biển Arafura
392175	1837
214608	Achaemenes
a8a8a954a8fa5f2ba680e13d4d934fc1	25-pounder
490942	Mã INSEE
20294	23 tháng 5
3158411	Sufism
156959	Tiếng Thổ Nhĩ Kỳ
3374789	Chuột nhắt trong biểu tượng văn hóa
461385	Azeville
41176	Văn chương
97085	Frontignan
1244860	Hương Chữ
69648	Bảo tàng Cách mạng Việt Nam
384353	Năm
10055429	Người Uyghur
be89b0ffbae95a819c026a287fe8ba22	Mainz-Kostheim
754c6f9412f6b63304ab6ef1c430ab4f	Indies thuộc Tây Ban Nha
783621	Durango (bang)
783987	Rio Grande
395973	New England
53114	Trường Sa, Hồ Nam
92220	Akutagawa Ryūnosuke
9942d8472ee432bb4179199f5beae701	Hope
212557	Bắc Lâm
a52c1c9eae9e4847817be0571fbf3c04	Garshuni
48f4f4fdfecfa9bf663f1b8940dd5fed	Châu thổ sông Sacramento-San Joaquin
32263	Vũ khí
234909	Hậu Kim
1353	Toán học
3157493	Amano Hiroshi
588021	Công đồng Vatican II
8af4de05df17002c6f705cf54f281261	Các quận ở California
139353	Người Thái (Thái Lan)
11121296	Al-Hasa
260681	An Hòa, Biên Hòa
530933	782
2ecc5f5b2d15b0977aa128a270b1f6de	Sân bay Limburg
71587	Auxerre
3277438	Kim Đấu Phụng
ba2bf6b1e2b95039643955b81d3867b4	British standard pipe thread
8f1ecf484320d405df798ccd78dd868b	Agústin Gamrra
814510	OCLC
7e85145aef648bc632f312681366b224	Biên khảo
891	20 tháng 3
525421	Axit bromhydric
42059	Lê Tương Dực
92190	Vũ trụ học
3624866	Quân chủ thế tập
de2a559040a9ef1b11a483f0c4f04a6f	Close back rounded vowel
3db9b505599654e5e81ed22487ad32f4	Thanh quốc sử quán truyện cảo
63975	1977
aca59c8515bfe2e1920bf86fc04018c4	Màu quang phổ
46726	Nguyễn Nghiễm
a3c7ac186e2b8ac058e7d29793fb8182	Argyll and Bute
1242806	Bình Tân, Kiến Tường
0686e2881b2491d4363cf19084dacb2a	Barron's Educational Series
265522	Arzago d'Adda
529256	1640
2429495	Bộ Ngoại giao
2218584	Amish
349489ac70aa0e3bd1cafaf6741d9483	Chung kết FIFA Club World Cup 2015
3185366	Chính phủ Lào
2364360	217 TCN
f8a34dcbea137fbf9a0c9c062ecf044f	Chăm sóc sức khỏe ban đầu
e8e7fafa2cb858bdfe3da9b8e2266a22	Cẩm Sa
39737	Võ thuật
578350	Thập niên 1380
60346e0847129484bd6d534e47252d4b	Thể loại:Phá hủy thập kỷ 1070
365543	Bãi biển Sầm Sơn
87e90c30bcaace1e74a3b0bef9852995	Thơ phú
810451	Bow, Luân Đôn
86717	Chu Mạnh Trinh
107821	1913
5ddf08067ed202d520b1421b922a8553	Giờ xanh
3660943	Hán ngữ tiêu chuẩn
1765575	Kim Môn (huyện cũ)
3393881	Bóng đá tại Thế vận hội Mùa hè 2012 - Nữ
416944	Tatarstan
27737	Ghana
120804	Jean-Paul Sartre
529305	1654
808890	Cát Thủ
644942	Mohamed Hussein Tantawi
20571	9 tháng 10
489611	Bộ trưởng Chiến tranh Hoa Kỳ
7d739c5c8805fcd7c828be33a2c9ae37	Fravashi
1daedc74b93586aee0ea2f27bef98b53	Thế kỷ 24
97588	Ewan MacColl
529337	1676
783622	Chihuahua (chó)
24886	Công
529197	1557
332392	Punta del Este
1400106	Chola
fcf7a9f6e825041df4f03aaa85036b9b	Thập niên 1070 TCN
11350	Thị xã (Việt Nam)
78929	Islamabad
36fc90d446abb077975a780ca626df6f	Danh sách các bang Brasil theo GDP đầu người
001d9a5635636e9421faddc7eb52466a	Thanh răng và pin hông
d9f22f7d733003d6a62210a3642d904c	Thể loại:Phá hủy thập kỷ 1760
70197	Heidelberg
8d800822e5b623ebeb30e4dcde1d29ae	Danh sách Di sản thế giới tại Nga
59688	Nguyễn Hữu Chỉnh
529952	1287
109275	Gò Công
189585	Hoàng Lăng
1277533	Kim Campbell
76703	Anh (định hướng)
323207	Phần mềm tự do
1740726	Soricidae
5d8a6246ad047e03ab09efa7c90fb5a2	A Nam Đạt
001993cd4971c23c4e31ffc72fb75b58	Bảo tàng Isabella Stewart Gardner
816807	Giang Tư
529266	1646
455163	David Petraeus
57c5769dd3cfe0b06033d558bd326448	Boomerang (Southeast Asia)
404661	Diekholzen
44785	Con đường tơ lụa (định hướng)
81075	Năm tài chính
83484	Bộ gõ tiếng Việt
63482	1987
444546	Giáo hoàng Anicêtô
1ebd8d5d87f828b0752929874baafa12	Alexander Pope
1678357	Anthony Quinn
1b2e6f33f59d2145f5af49fb40e142b4	Công viên Điêu khắc Peer Gynt
1297625	Giống cái
2efe666888d2fc163535096be2d0e131	Andres de Santa Cruz
130873	Bí thư Thành ủy
f91b86b23e4b680ab796ba84ba00d2b3	Năm học
36771	Sông
444514	Giáo hoàng Alexanđê I
3385952	Anschluss
186218	Biển Ionia
83398	Hoài Nhơn
77a61862fbf51b2c61e28eb7f1f5e2b7	Air Mikisew
3423708	Loạn kiêu binh
de9e499881288c77268be4a9ae44f6d5	Kỷ nguyên lịch
27345362fa211fc94d32ef341a15b626	Entissar Amer
21943	Adelaide
102115	Chủ nghĩa tập thể
ba2aea2267f19949ae1546d855908300	Canto a Baja California
4afae0d8bbc556e30bdaab67f21e99e9	Công viên Washington
990	Ngô Đình Diệm
562588	Annapolis, Maryland
a2aa492f21231516f0a12b514c3a7cba	Jive
473917	Bùi Thị Nhạn
5eb809dfa35754ad0c71f59b627af348	Agal
fd46bbc3c5ec0bc8f6b071e8581ac381	Aymara
3122064	Bất tử
972566	Trường Trung học phổ thông chuyên Lê Quý Đôn, Khánh Hòa
eedeed85366cf57e4701185f24b7ab32	Thập niên 1010 TCN
3679475	Hồng Kông thuộc Anh
22331	Biểu đồ Hertzsprung-Russell
1670484	Rattus rattus
3c2096b98d0c9880f4a8610650a233ca	Taipei Times
119408	Romain Rolland
fd28456afccfd1705e4fb44e13cc50a2	Wassaja
290108e65d0bb24c016beb9c0569f474	Nicolas Roeg
31bc10451d9f59fe97f716147ca02d24	Propædia
1279739	Thập niên 0
87d65746d815fb909ab9242abd3cacd5	Đại Việt thông sử
119286	Harry Martinson
3471850	Cai cơ
206676235930e0b5b02a77115657c8ca	Thể loại:Sinh năm 1935
7d59bdf659b3ce5ec76c83876e9a3dc2	Jean-Baptiste Camille Corot
63062	Battambang
3341437	Elbridge Gerry
127338	Pháp quyền
d050f91a87dea509ad4be1dd3edd0d1a	Đầy tớ
43a1aba20af328e415f3a77b22aaf412	Avery Dulles
237524	Louis XVI của Pháp
2452141	Bóng đá tại Đại hội Thể thao châu Á 1986
792913	Bessarabia
2eae050def9ba21b262ef14ba657f8cc	Danh sách trường phái triết học
787976	Châu thổ sông Mississippi
34172	Arizona
20248	28 tháng 4
368653	Bùi Quốc Huy
3119931	Bắc Thái Bình Dương
32954934dfdb110b0eb4d3de0d0dab36	Aarhus County
119582	Auvergne
139904	Alfred Deakin
24478	Chính phủ
529352	1686
40515	Bảo tàng Thành phố Hồ Chí Minh
131675	1899
2322d1392ccc915225277d5a30c87423	Thể loại:Thành lập thập kỷ 1820
265519	Ambivere
3268376	Andrew Lloyd Webber
578347	Thập niên 1410
e52b4ffe34c8d045cdd22f0d817835ff	Chính phủ Kuwait
529182	1544
825008	Bóng đá bãi biển
3effd6a66c5799b85aad198be6d16b5a	Hiệp ước Hữu nghị và Thương mại (Mỹ-Pháp)
541344	Dada
7ec2fa786c3492a07a2f902c5646fe01	County Donegal
334606	Giao hưởng số 6 (Beethoven)
3d7d54ddbcf3d2ef6c6b7312134c1039	Aougrout (huyện)
7e1a719d71fdea83e50a34a658c7fc2f	Al Qadisyah
3186757	Giao hưởng số 4 (Beethoven)
e21e4e58ad9ab56e8a4634046da90113	2148
529570	1585
200992	Moung Ruessei
cca6fb60f3d769f0c7579948d0fa6e25	Electional astrology
e70112b0f870d8b4b22fb3bd41a4f219	Lê Duy Ðản
19478	Thể loại:Mất thế kỷ 20
bdfbebebbc78e09583daac1a99a28f11	Cape Ann
3867291	Cao Minh
53756	Thể loại:Mất thập kỷ 1690
3240361	Bartolomeo Cristofori
df72904f373dddbfb9a5c77f44398c30	APEC Philippines 1996
20236	7 tháng 4
25cc7eeda58b41ab58c2725cf25f01b9	First Republic of Armenia
119601	Basse-Normandie
19344	Thể loại:Sinh thế kỷ 19
329269	Bernardo O'Higgins
9293397	Lịch Dân quốc
8d3b10544b2dd48de19cff2bf945ac9d	Johann Encke
188195	Açores
774197	Lucius Cornelius Sulla
ac938feedac8a466ccdeba6514b1c44f	Frazione
641862	Nguyễn Huy Lượng
1307151	Cái Tàu Hạ (thị trấn)
9ad244ce075b3e96a8b27b14a4b5dd25	Huarina
3706351	Vuông góc
51623	Tổ chức Hàng không Dân dụng Quốc tế
1221629	Aksai Chin
5ffeee48efc5b1f5115f8e16b0d8e735	Cua trong biểu tượng văn hóa
107892	1921
a94d3e05fac11a8d6da5c7388db47530	Baron von Steuben
235189	Belmopan
09e9e7d2f9dce9645e03675eb061352f	A Modern Twain Story: The Prince and the Pauper
3d7cfc982d063e467ca0cdc5ae14149b	Sách Amốt
be4bc9794b561df4e829c29fe620fe5b	Bắc Canada
33488	Nhà Tấn
20376	3 tháng 7
1251537	Phú Hồ
574561	Chiến khu Đ
368909	Horace
e3b46743eb3e8710d71f53f2b2cd3e19	Correlli Barnett
59caf985cb7bfacf542c6e015273106d	Hơi đốt
523794	1794
146294	Ang Duong
61537	Trịnh Tạc
524273	Họ Hươu nai
68418aef4aeafbf196ebe75ba760831c	Các ngôn ngữ vùng Balkans
530941	1398
99314	Dakar
b4545beed47d548b1385187ff5a4b4b7	Imperator
da53a4f2451d92a8fe4beb12f58682f6	Al-Hassan
505f46b93d17e2459ad8f63c758d25c1	Leonid Serebryakov
7527059	Hàm (toán học)
541325	Trường học
e67d21160b83a833116f024b537e646c	Ching-Thang Khomba
7569	Kawabata Yasunari
465cd6c3272feefed790541a36cf3a83	Huyệt
122698	Bản thể học
12df730834755a531d27a9710f1ebcd6	Xét nghiệm
20684	16 tháng 12
8574	Chuẩn tướng
65681	Hessen
213072	Dương Khúc
a4ac536e04dbb393592bd5c6190a8536	Di sản của Indonesia
3cee98c3662b3dd59d7432ffc6ceb34b	Basutoland
57d0625c1dafc0f748dc634e31cf1d74	Công nghiệp điện tử-tin học
ed81dd07f01bd27af65fbb619a0f8d56	Thể loại:Kiến trúc thập kỷ 1780
172897	Danh sách quốc gia theo chỉ số phát triển con người
200999	Koas Krala
293847	Thuật hùng biện
db09d5f40628e35534c99f311abb65f1	Anh Quốc tại Thế vận hội Mùa hè 1912
18937	Ma sát
ce5f5f0d50a34281ec35c7357d8591fb	Công ty hoá chất
529237	1625
a86b2efd8ccdfd7c6048d2ca22c28873	Asia Times Online
1242724	Bình Hòa Tây
20481	26 tháng 8
152406	Beograd
4a78d571e7e5f149601b7aceab7c18d8	Imperial Abbey
2452693	Bóng đá tại Đại hội Thể thao châu Á 1982
9eecab109baf8278e1cb855a1a656758	Alexander J. Dallas (chính khách)
98864	Dương Trí Trạch
590567	BMJ
b0425f4a17ec3b4637d988aae6edf4de	Baltasar Gracian y Morales
f15d337c70078947cfe1b5d6f0ed3f13	2130
575202	Quận Erie, New York
f047ac08a4d564b2b57efafff2eebcb6	Niên hiệu Anh
189488	Cao Lăng
e982240ffdc1102f748caa0ac55d02da	Freiburg (vùng hành chính)
38323	Dominica
44e776efce80221ab1df17568c9a1759	Hùng Vương thứ IX
67598	Phéc-mơ-tuya
30160	Malaysia
193750	Biển Andaman
