1519217	Curitiba (định hướng)
d0c9d989702514d284670fde2cfe3ee2	Bóng nước tại Thế vận hội Mùa hè 2016 - Nữ
32209	Rudyard Kipling
ac56c361516c102f94a847632b78a92f	Bảo vệ catốt
392182	1840
109943	Hành Dương
a4d507c39c1e9ad21b7ab6ad9ae99d52	Công quốc Brunswick
1ab2d87a327da9590b85b587e4e94b49	Khử (hóa học)
78ef1803096696b08b410fffc208c61c	Cedi Ghana
1680480	Sách Giảng Viên
14911	Bắc Giang (thành phố)
42049	Eo biển Malacca
6a0c1545e97654ea661e8855a89913b5	Bao vây Syracusa (214–212 trước Công Nguyên)
1599648	Lẽ Thông Thường
458060a881111252bf266537a25b119d	Hans Vaihinger
231810	1830
9d82810c8792eec86911aac1f23f0933	Hiến pháp Frankfurt
0961f4df04e7beab7c21cb11896e458e	Formigas
366733	Horst aan de Maas
74ea745c31ddfc711f0281f3f1bcbed5	Monte Somma
b6d8256e20096c7d61b42012889ecfc4	Port Said (tỉnh)
806984	Toshkent (tỉnh)
f1effe3b51d392841b0b04f4ae32e3f7	Bài giảng đạo Vĩnh biệt
20189	2 tháng 3
574429	Centennial, Colorado
529176	1541
c3cb3892ac6d4b492156e15160d1321e	Gary Locke
228852	Hoàng đế Pháp
2339671	Dầu
857fc4707bcfc21002b4f5f58117f38a	Kashechewan First Nation
811525	Bản đồ Luân Đôn
982107	Mungyeong
1742121	Chiến tranh thế giới
7320	Chiến dịch Điện Biên Phủ
23629	Lê Văn Tỵ
7609450	Thời kỳ Cổ đại
24bd7d71f31c5c8d448e3c54fce37c23	David Magee
053c37696901b6f44a25b7f7973b374e	Chính trị Angola
238414	Bỉm Sơn
27343	Giáp Thìn
105026d9cc705099a822d32c8c300cea	Lịch sử những cuộc chiến tranh Nga-Thổ Nhĩ Kỳ
1340244	Anubis
855d9e4a3e3686ea1cdff99432d6b5a3	Arrow (symbol)
798259	Lâm Sảng Văn
198525	Karl Landsteiner
1d77edcb94baecde989e5c7a1f259cf6	Huntington
509729	Bến Nghé (sông)
1583aa2e3e1f5857e2956f4e669c8242	Claude François
40ac238ad4b51ed066d644255b6e899d	Erotic
20600	25 tháng 10
66022	Golf
1094551	Chiến thắng
1254081	Vệ An
1678637	Từ (nước)
f2915e5fe8322b93e6f5a18011af74c2	Friedrich Ferdinand von Beust
99024	Thanh Trì
55563	Đàng Trong
6752f22dcf9cf25d5b3df83b1e7ca1c0	Aydinoglu
106481	Bùi Quang Chiêu
3172128	Ernst Mayr
43656	Hà Huy Khoái
517362	Cuộc nổi dậy Phan Bá Vành
86503d90d3fcbbca204049541490f9c0	Eduard Haken
53470	Hạ Môn
f5446a9f57376a4ebecd8ecb2dd2b45c	Cận cực
400dc110e6981f8078c18a4986372880	Trưng dụng bản quyền
d2379742190e06019d9e40a4f764e55c	Joan Copeland
810658	Chelsea, Luân Đôn
77bab617ab0094fdfae58c045eb92ed8	Hồng Thiên Quý
101579	Hiệp hội Vận tải Hàng không Quốc tế
27354	Ất Mão
20478	24 tháng 8
243598	Chiến tranh Tây Sơn-Chúa Nguyễn
1262495	Cuộc vây hãm Praha
e6e8a33b15aa88eff1f2ef25c50f5419	Bio Bio
80e7dfcfec6017ccce157e58ebbb876a	Bataille de Leipzig 1813
16238	Giải Nobel Văn học
1250024	Lại Thượng
209737	Chùa Giác Hải
124057	Anna Karenina
e43315b0bb8ff0d86ddc71efb64cdd60	Bompietro
80324	Thời kỳ Khai sáng
808925	Bat Yam
3253856	Báo đốm Nam Mỹ thế Pleistocen
3015	Sức mua tương đương
234474	Chùa Tam Bảo
1365915b8fd23aad9c61d2deae8404af	Bach Djerrah
187411	Amapá
3521087	Lãnh tụ Tối cao Iran
20431	30 tháng 7
f895a93d53e0faf58f93f632ff830750	Choral Public Domain Library
30906	Margaret Thatcher
185990	Phan Kế Bính
243397	Amman
4300dcc6f44f1476ea6cb9bcaf4c213b	Principality of Nassau-Orange-Fulda
1249794	Kẻ Sặt
ec6a51e96ca8380b8309070f5bc6b43b	Cambridge Guide to English Usage
53789	Thể loại:Mất thập kỷ 1840
109152	Concord, New Hampshire
51d25ca81d0f664df8d2341c3fee2622	Chiến dịch Kền kền
183371	Tiểu Á
833cb09c10fda18623e185f56370a032	Antisana
532210	389
2365683	Camellia chekiangoleosa
cafd789accc209da605a9aea5eb2c990	ASEC Mimosas
20294	23 tháng 5
e748f83561570530970beb47256c6835	Dây leo
6dfa57aeaa37b128e95156d7c12d8275	Cologne (vùng hành chính)
580826	Santa Fe (tỉnh)
4edc0ebcf9288c135464d93141f2df15	Benito Jerónimo Feijóo y Montenegro
32055	Dương vật
98ad602cecfce89ef79b465936dd0484	Chủ nghĩa xã hội Trung Quốc
11525609	Bahraini Premier League
422104	Argentit
234909	Hậu Kim
2100ef46e38306d1d155eb40696f8561	Chiến thuật bộ binh của La Mã
71587	Auxerre
814510	OCLC
891	20 tháng 3
1810c10a8554a8c79fed16664455215f	Chính tả tiếng Hà Lan
21942820f3d2f17c3cfd82ad3c32e5b7	Kim Nhược Tiên
3104	Tấn
0686e2881b2491d4363cf19084dacb2a	Barron's Educational Series
1ffc14bb056d313b9d74504341a5d91f	Charles Schumer
577397	La Pampa (tỉnh)
529256	1640
44122c19b80194d38584cd9cd345c2c9	Alexndros II của Ipiros
2218584	Amish
349489ac70aa0e3bd1cafaf6741d9483	Chung kết FIFA Club World Cup 2015
61789	Bồ Đề (Quảng Ngãi)
9773c49ee520627b8079de6faa446552	Di sản thế giới tại Ba Lan
267710	Chiêu hồn
810451	Bow, Luân Đôn
6f544e73d2ed0c9b0502465f47c8bd38	Chủ nghĩa xã hội Châu Phi
5ddf08067ed202d520b1421b922a8553	Giờ xanh
d4a0c3c92adc6795a3303592257cf1c0	Sinh thống kê
570940	Breslau
c19ee1cef315372c9bd104c5bee2b41c	Horse harness
ce28c05687f51b6a77e28ad877a61bb9	Jerusalem mới
17601	1 tháng 6
43082	Trịnh Hoài Đức
969326	Trạm Tấu (thị trấn)
644942	Mohamed Hussein Tantawi
546527	Bức tường Dân chủ
905feac504c36304d04f4b6d8bc0ab55	From Hell to Paradise (book)
783622	Chihuahua (chó)
24886	Công
9cf7205f1e1f5430d703f824610d0217	Arminius Tin Lành
c0ebc1c735e63bdbfe1cceaf9bb472d7	Jon Manchip White
822350	Chiến tranh Pháp và người Da đỏ
3299685	Carli Lloyd
30498	Annam
189585	Hoàng Lăng
9256bf690925ea6f0b315198398ee299	Chewing gum
578390	Thập niên 1120
1740726	Soricidae
cccc2a40efcce1eb879b665db720974b	Hồ Hải Long
820488	Dearborn, Michigan
40297	Bờ Tây
404511	Giesen
41928	Học viện Kỹ thuật Quân sự
2260197	Henri Moissan
43118	Lý Đạo Tái
1678357	Anthony Quinn
9efdc8a83fc17d0f955b1cc7977b1fd1	Asteroid impact avoidance
130873	Bí thư Thành ủy
1221405	Diana (thần thoại)
3d7d54ddbcf3d2ef6c6b7312134c1039	Aougrout (huyện)
532416	Học thuyết giá trị lao động
83398	Hoài Nhơn
109038	Hà Trạch
3638317	Danh sách các vương triều Ai Cập
4afae0d8bbc556e30bdaab67f21e99e9	Công viên Washington
f26ea4b2d1a47a4ba9f45e1ff8d4321e	Bài toán về các phạm trù
d6a87967582b01c2867386785f7fd2e0	Chimalpahin
aa90e450cb1a0703f77ae998f193d58a	Limburg an der Lahn
38b2b84e34297804525f4156409787d5	Cô dì
63062	Battambang
188721	Cao Thanh
98651	Cộng đồng các quốc gia độc lập
9ed70508672ca4c9fe1ab4fb2e419884	C.F. Monterrey
1751121	Raetia
da30d9782ca803ad6fc409ebe8221e82	De Slane
787560	Calvanico
20248	28 tháng 4
3119931	Bắc Thái Bình Dương
f7ff38cdb8c43265ddc142e2dc908d40	Deering, Alaska
071db48e91c12d76676e296e8c681c8a	King of the Netherlands
e1c1300cabce6c76d043e4add07ac7e2	Anushavan Danielyan
a55ea6b20407e6bcc37bae8f625e73fc	Hệ thống giá
455286	Bộ chỉ huy Viện trợ Quân sự Mỹ tại Việt Nam
cd6c0017018587105d09e3d97e01da71	Boron nitride
265519	Ambivere
c8b7b697b36ab5b70c52490e91214ef5	Saysomphone Phomvihane
3268376	Andrew Lloyd Webber
841438da6a8fd964f3b074a2162332bb	Mặt trận Kavkaz
578347	Thập niên 1410
e52b4ffe34c8d045cdd22f0d817835ff	Chính phủ Kuwait
529182	1544
825008	Bóng đá bãi biển
3effd6a66c5799b85aad198be6d16b5a	Hiệp ước Hữu nghị và Thương mại (Mỹ-Pháp)
b5a2f20c9ca846ef2dcba06c1d90737c	Sông Bartang
407164	Nghiện
d2746810d1043795e0fbe97c4f5bde0c	Bắc Texas
8708335d60420cea56cf29ad94c2e1c2	Các dân tộc Myanma
7ffd647b2b6544fdcbfcdfa6d1506ec9	Màu loại trừ
53635	Thể loại:Mất thập kỷ 1090
119601	Basse-Normandie
258590	Erzurum
523238eb05886942d72b2ca61b6cb2fe	Tinh Tuý Đại Thừa Giáo
8d3b10544b2dd48de19cff2bf945ac9d	Johann Encke
188195	Açores
e87a4f5a76605b4a1bd82b38d6441299	Thuyết chức năng cấu trúc
2419252	Bắc Kalimantan
1f5aec30f9f3638e582ea090247bb15f	Cyclodextrins
665b017a12c721cdc0c47c8139692b93	Bensen X-25
5ffeee48efc5b1f5115f8e16b0d8e735	Cua trong biểu tượng văn hóa
09e9e7d2f9dce9645e03675eb061352f	A Modern Twain Story: The Prince and the Pauper
3d7cfc982d063e467ca0cdc5ae14149b	Sách Amốt
be4bc9794b561df4e829c29fe620fe5b	Bắc Canada
369754	Dessel
574561	Chiến khu Đ
335497	Alxa
405624	Hội đồng Tham mưu trưởng Liên quân Hoa Kỳ
523794	1794
400045	Dernbach, Neuwied
108530	Bóng đá tại Đại hội Thể thao Bán đảo Đông Nam Á 1961
87c65f7b568c5146615657896a7aeed2	Luật hình
bb3d41758a515ee367c6ca31745f8f6d	Chu Do Hoa
1934f186dd029bfeea6a5e8aab67613e	Barry Cunliffe
468167a46e7bd1c9a573171e88fde568	Boomerang (Vương quốc Liên hiệp Anh
122698	Bản thể học
820520	Herzliya
8574	Chuẩn tướng
1127220	Cao Ly Quang Tông
3cee98c3662b3dd59d7432ffc6ceb34b	Basutoland
f3b8cc82839db9d47d19b96bd29133e7	Adolf zu Hohenlohe-Ingelfingen
2c0acd853e8db39d224921a2a875f4f7	Bùi Duy Tân
3ac1be593eb10f8955a9659e8d32b0f9	Jean Étienne Championne
577718	Hoàng Cầm (tướng)
db09d5f40628e35534c99f311abb65f1	Anh Quốc tại Thế vận hội Mùa hè 1912
18937	Ma sát
7577330	Sufi Abu Taleb
392140	1819
1242724	Bình Hòa Tây
293516	Ambly-Fleury
24774	Chùa Hương
f15d337c70078947cfe1b5d6f0ed3f13	2130
38323	Dominica
6d90fedba5b1d451d082e9fbd2f5e846	Giáo hoàng quốc
1253157	Thanh Phú, Sa Pa
67037	Calcutta
5228	Boson W
530512	1500
42742	Australasia
10683562	Chiến tranh tâm lý
af6042e1f11dedeb5d07eb3348a81584	Hội đồng dân ủy trung ương
528879	1725
2044	Di truyền học
262f9708822ff7b70318f556e7b1c35a	Thể loại:Kiến trúc thập kỷ 1890
26	California
c7236804e3228404c366815ddb54332e	Kiều Lâm
6eeb8acc0b0a9a8f94f221e65279d6e2	C. S. Peirce
820147	Đại Việt sử ký tục biên
48128667d69ff625f29c809adfcd62d8	Lingga
b50ecd4d9919a0fa544fcf7bfc8a2a94	Black Belt (region of Alabama)
1249414	Sông Krishna
67377	Khai Phong
da9a15b43a1ee15fce2acb4455033534	Bóng đá tại Thế vận hội Mùa hè 1988 - Vòng loại nam
cb321dc52beb2d3d2faebe75fb4ccb76	Municipiu
57683	Thiên niên kỷ 1
3ebf68cdd4f853a7310bc2c8d42f8ac0	Deruta
9757312573f680df662061d5bdee193c	Ban Đệ
5511f5a31c98373ad3a89e81c9c1b2f1	Namul
aabd9198c206eb9e9c361c9fd0b3e844	Julien Ries
585861	Nhot Ou
13824	Phục Hưng
10714	Hàm lượng giác
48220	Nữ hoàng
316385	Bệnh viện Sant Pau
205338	Chỉ Giang
115	Lý Thường Kiệt
62946	Apartheid
124825	Tổng
579673	Hùng Dũng
37766f47016451671d68e8e3ba069276	Coat of arms of Acre
22581	Adam Smith
28f5779f9a53bb94fb5c12fc1be750c3	Nhỏ hơn hoặc bằng
232865	Mễ Chi
2440867	Dương Phụ Thanh
43927	Chân Tử Đan
3b97879be0e4736d158f6981dc496f15	Coccolithophores
117293	Horatio Nelson
411432	Duệ Tông
49326	Thế kỷ 13
c1f8f7425ee70b99abe6926cd12fd5fe	Arsenal TV
11960	Thập địa
e01d7f6d36a210f91a929c36c8c4458f	Chiến tranh trên bộ
1bd97c7a33208f4b5d3a7e9c31b42dee	Aurotioprol
571fc6bd9745ab569c27ad39800f7b18	Ataraxia
3265040	Các giải thưởng của Giải vô địch bóng đá nữ thế giới
2452430	Bóng đá tại Đại hội Thể thao châu Á 1990
2249237	Models 1 Agency
189492	Chu Chí
64566a04da2c84a6fe32db9c28623d46	Khảo cổ thiên văn học
1201463	Nhà Lê trung hưng
1fe16758abdea5b5320cc7a2917322df	Atletico Olanchano
696cf615cab5fc7e5802114059483481	Ngôn ngữ tuyệt chủng
40109	Anpơ
e9dce02a3c28f1b08a731636a142fca9	Aristide Briand
41721	Lê Hữu Trác
26462	Trạm vũ trụ Quốc tế
845345	Mùa Vọng
534e0b6a8f68e19214ed3f16b5377dcf	Amable Audin
7551e83e65d6523e428b7eccf0c482ce	Cái chết của Marat
1242232	An Nhơn, Châu Thành
234245	Nam Ossetia
1279655	Thập niên 120 TCN
022de8a5607a1105efe4bca6b29492ad	Ngày kiểu cũ và kiểu mới
c5788742779f7080daff0ac629e979a5	Chiến tranh Berber thứ nhất
7292dff6565bc9b23daa4d9e7c0bfd41	Bá chủ
7f7241042425308f7baebbd6f1bf4c22	Thể loại:Phá hủy thập kỷ 1740
560737	Lực hấp dẫn
73145	Kỹ thuật số
61131	Giang Văn Minh
882b1e7f4e3bda1377d67d0886c153db	Bóng đá tại Thế vận hội trẻ Mùa hè 2014 - Nam
77528	Ea H'leo
140195	Sông Rhein
38318e7c177aa0e66b170aacc81dfd3b	Grand Prix de la ville d'Angoulême
12732562	Tin Lành
64e71b75231267a7fda9fa55abe87e8c	Schleswig
26869	Tuyên ngôn độc lập Hoa Kỳ
20206	10 tháng 3
94977efcf626e65acf2fbdfe0dc6ea65	Cúp Albena
219053	Chloroform
257486	Dương Lăng
787d228cbcaf28a310e50fa2bde1cfd0	Forbes Midas
541367	32 TCN
3751	Công nguyên
2649690002bf0145b1df281ecae6cf49	China Life Insurance Company
99934	Faridabad
d36cb35f2a94d2a2073ccf80bc6e5901	Véctơ độ lệch quỹ đạo
293602331613e08bb3c862560e37ecb5	Chung kết FIFA Club World Cup 2007
75fdb6d7603bc09a1bb7aebb13ef944f	Công nghệ Eco
67e9d10dab85d0d75de82c6456daed1b	Arie Deri
c9ec2e1ebe679d99a818cc23004a4d77	Biến đổi dần dần
2463041	Chiến dịch Hải Trừng
305080	Alajuela (tỉnh)
33606	Cao Xuân Huy
50992	Hoàng Diệu
7e07cf59ec7362d694471fdd28c7d08b	Bromua natri
384327	Toại Nhân
462498	Chiến dịch Bolo
de69a14bfb6d1a730f7375dbaa256991	27 tháng tư
5c9c7f7235b311e190d258eaad48052b	Infanta Maria Josefa của Tây Ban Nha
ff5d9c84e4e40920f9d3fc2d82999b8a	Avisa Relation oder Zeitung
24002	Humphry Davy
4fcf860a95149baab31f7f76a017bbbe	Cấy máu
98fd9ecf7083220ba287daf18d193cc6	Caritas Tanjungkarang
527232	Thể loại:Mất thập kỷ 60 TCN
6a0914ea73143486a2695df6988d6362	Annecy-Centre (tổng)
624766	3
8261420	Latinh hóa
38b6b98ebe05ae973ed910b2745469ec	Harrow
2ded96caf12ffb6783234d1960b568de	Cờ hiệu hải quân
09ef1725ac5c130e0b6fe2ab489b9158	Thể loại:Kiến trúc thập kỷ 1770
a405de564d929dceda3ade21ee21d919	Chủ nghĩa tư bản độc quyền
3308e657985184cfdba958fd19473523	Ahmed Sanjar
111182	Nam quyền
102829	Bruxelles
0d62537627c1ebf1cb51af28e8c2f3ed	Abu Mansur Daqiqi
107147	Ft (định hướng)
624d876aa75e46674df1c4249038764e	Thể loại:Thành lập thập kỷ 1780
64798	Ho gà
30753	Quang học phi tuyến
4b66973817786e204829fc0bc32f00f6	Kinh tế bị khủng hoảng
38da569ef6010204ae9c8c352ae2d54d	Weizmann Institute of Science
3401520	Thể loại:Mất năm 1453
70920	Burgenland
248033	Thời kỳ Kamakura
d6bbc223d79888faad6143265b9cfd74	Hiệp ước 1884
1990	KDE
199f830c079401cf520fa6f5da132d5b	Albert Grossman
cced00d10c5cf8859a1e22453e3835e9	Annie Besant
27f4916510c07942450d72b33889a058	Bả hào
184bb43b65857acaf92549754847f661	Nguyên âm gần đóng gần trước làm tròn
352121d4614edc30ec8b88a86cc7d765	Màu bổ sung
76554	Hằng số khí
7a9898cb7f3af7748c5d77632eb0a329	Henri Jaspar
300619	Nhà phát triển phần mềm
71935930d1866b78267e40353e87ca1c	Các vết tích của Quá khứ
20699	23 tháng 12
334411	Đào tạo từ xa
139610	Magnoliids
a29db723eb461d40a98afd1ad30f6bc3	Liên đoàn Phụ nữ Quốc tế
7eb8d7f43e353c5965dbd806aed10e40	Al Muaisem
b4209351585d156afa7c8c31dc2a1181	Algérie tại Thế vận hội Mùa hè 2004
27c542d465192702caf68cdb2adb1f9b	Paul Butterfield
7a0911f1c4d426fc15b0ade4912f0aac	Sejm
621c89912257e939af2b7fc920f7cd8f	Chu Tướng Quốc
8058ef914bc4b7fcc71f0817208e913c	Bờ biển mài mòn
105606	Hòa Thân
3208713	Hoàng Kỳ
438fe0c2c047cf0e4da2156462b649c4	Elihu Root
a434a289b5bcb5731cc8649ec3394fbe	Audi Q7
1ebb66dee88403ee4ca6b5c5e5fc366a	Anti-Communism
907e1b0cb3cdf81f70b6b7e2c7d19e5a	Orthorhombic
818604	Hoa Đàn, Chương Hóa
d795e735f3033e38be59c25275603f48	Bờ
531902	459
f44de31fc1ee0e6cb7a3452c190d28b2	Ekaterina Dashkova
3012	Kinh Dịch
d08451bdc51e2945e03dbb7fd3b2026d	Bob Burton (novel)
306677	Castel San Pietro Terme
24498	Biển Chết
307611	Cú
3621	Sóc (lịch)
797795	Jean Chrétien
509920	Chiến tranh thông tin
71401	Charleville-Mézières
29a324aa2eac6a8a595098a17c4352c9	Afonso de Albuquerque
867672ec7f5c481d37d65c38409c07dd	Cochinchina
3681697	Sơn Tây
819510	Batna
b7264c103ffb1cb050ba61983e764128	Thể loại:Thành lập thập kỷ 1640
a486cd07e4ac3d270571622f4f316ec5	2152
44785	Con đường tơ lụa (định hướng)
57115	Thanh Lam
151171	Phù Yên
1643723	Cao Lăng Úy
baad3c59f5536e6108ff8e31e71c1760	Deoxyuridine diphosphate
3131331	Giovanni Gabrieli
2260969	Carl Bosch
2804	Hoàng Hà
4b333cafb7655297247a48dd4bcb9765	Khoang lưng
1da5b98d68fab33a891a814176908c5c	Bắc Ireland (khu vực bầu cử Nghị viện châu Âu)
14c7c30ff74cabb9fd7bdc13c610188b	Aleksei Petrovich
529973	1305
3121683	Cuộc di cư Việt Nam, 1954
183191	Trừng Mại
2286268	Cửu Hương
36702	Burkina Faso
2425163	AllMovie
230527	Hoàn
beeeb817876a19c0bf4930799a0fd2d3	Châu thổ sông Hằng
f760838250fd2a5afc6b08d1b8b2d288	Hussein Fakhry Pasha
0089a74f2dd85e611f02e0e06b93893b	Atakebune
198151	Đường Chiêu Tông
3217992	Điện cực
69687	Công xã Paris
223125	Thành phố tại Hoa Kỳ
1260075	Shatt al-Arab
edd546ff8c1a58e464c08b1bff02d3a8	David B. Henderson
6da66377a8eb7e9bea2e69da6fa76072	Bản Muangcham
9f05dba7ca37d838830f0bcff0b2cf6d	Chiến tranh Hy lạp-Ba Tư
6ff55543d29bfac85326412c3acc117f	Ayesha Jalal
0181acfc6af8c73e0c030541db709d9d	Elz (Rhine)
3642384	Augusto B. Leguía
4490f47ca6466930d3b4529f1c0d23f9	Carl Jacob Burckhardt
214376	Giáp (huyện)
41c6f1d940c44d597b28c5a7302fdb03	Hai Sicilies
772392	Alassane Ouattara
69153	VnExpress
84beb304e31f62a9bf50f97f86e99ae9	Bahonar
1243211	Chiêu Lưu
b199fc59838a1da555e042292d3b86e2	26 tháng 8 năm 1975
343eb2db06a66165df15b73aab55dc05	Imanol Harinordoquy
253998	Tổng thống Ba Lan
53759	Thể loại:Sinh thập kỷ 1710
9e9fca464d254073834bae3bfddf5b0a	Danh sách chữ viết tắt cũ của tiểu bang Hoa Kỳ
578305	Thập niên 1730
a0dccb0ba2b50d84245d30dad465afbd	CDT
3f6a7e05bcac8ea35f4de1c993007dbd	Chiêu Chùy Biện
5245	Sắt
1251673	Phú Thuận, Huế
273217	Google Books
66792	Phản xạ
4f7f905e27449ea1e9b7ef4babb62354	Bách mĩ tân vịnh đồ truyện
f8226dcfcb47b6f7d57652a55993ee4a	Holden Furber
90460	Cầu Cần Thơ
f54b2fba0b6c444aca25d254acac6265	Bắc Việt Võ
8aaf958ff84abc0affb2d4bb29b177ad	Thể loại:Kiến trúc thập kỷ 1330
821089	Văn học Việt Nam thời Tiền Lê
60460	Truyện truyền thuyết Việt Nam
f4979c67fefad7706cafa038906f8044	Bảo tàng Khảo cổ Quốc gia Athens
e452b9d701c48f93e73b42beaaed6e87	Quốc Dân Đảng (định hướng)
1577194	Coffeyville, Kansas
65386ce1795d1c36e7228de7ed020415	Dental nasal click
1827033	Bạc hà mèo
3299529	Chiến tranh Ogaden
37520	Ethiopia
109985	Chương Châu
1759c2d23520063d7736d0fd1f2f61b3	Boeing 777-200
3645956	Bắc Dakota
2393242	Archaeothyris
12865	Dặm vuông Anh
413431	Feldberg, Breisgau-Hochschwarzwald
529380	1697
3274596	Táo tây
530570	962
5a348883454e650690d7184e31795644	Jacques Gaucheron
503613	Bình Thành, Đức Huệ
53773	Thể loại:Sinh thập kỷ 1770
3220326	Ascidiacea
2c423e0c1d3876f6c0161f90345b71de	Thể loại:Phá hủy thập kỷ 70 TCN
c4df4c25ef5db9561d1aa6c5bc927217	Automotive industry in Spain
259840	Dionysus
213256	Hấp phụ
3263454	Chân
182952	Thể loại:Mất 202 TCN
f9c019568d41201f8f14fbdff63e97a2	Đông Dương Cộng sản liên đoàn
95229e51f13fac38a8564bc0945c3ce2	Alexey Antropov
05ec6466bcbdebfc8a9d830d39c63117	Air Georgian
555274	Xuân Giang, Nghi Xuân
454835	Giáo hoàng Alexanđê IV
804907	Heinrich Wilhelm Olbers
99632	Hoa Vinh
d5835633c508be9d9aef5f9167d498b1	Modle
46241	Cầu Vĩnh Tuy
761c1e6e88a8380f3314659bcda38d75	Hàn Ung
3381	Thiên Chúa giáo
104850	Eugenio Montale
